schema,arc_id,start,end,length,real_map_edge_pass,actual_task_segments_losing_reachability,source_goal_pair_reachability_loss,alternate_outgoing_edge_count,weak_projection_bridge,source_is_split,target_is_merge,paper_scenario_membership_json,maintenance_priority_score,score_semantics,maintenance_rank
czr005.g4irsf13.fault_control.v1,1,0,6,8,True,3200,5,0,True,False,False,"[""single_1"",""pair_1_7""]",3725,offline_reachability_and_topology_ranking_only,5
czr005.g4irsf13.fault_control.v1,2,1,7,12,True,3193,5,0,True,False,True,"[""single_2"",""pair_2_4"",""triple_2_4_6""]",3728,offline_reachability_and_topology_ranking_only,4
czr005.g4irsf13.fault_control.v1,3,2,9,9,True,3199,5,0,True,False,False,"[""single_3"",""pair_3_5"",""triple_3_5_8""]",3724,offline_reachability_and_topology_ranking_only,6
czr005.g4irsf13.fault_control.v1,4,3,16,4,True,4887,5,0,True,False,False,"[""single_4"",""pair_2_4"",""pair_4_5"",""triple_2_4_6"",""triple_4_6_7""]",5412,offline_reachability_and_topology_ranking_only,2
czr005.g4irsf13.fault_control.v1,5,4,17,9,True,4887,5,0,True,False,True,"[""single_5"",""pair_3_5"",""pair_4_5"",""pair_5_7"",""triple_3_5_8""]",5422,offline_reachability_and_topology_ranking_only,1
czr005.g4irsf13.fault_control.v1,6,5,19,4,True,4886,5,0,True,False,False,"[""single_6"",""triple_2_4_6"",""triple_4_6_7""]",5411,offline_reachability_and_topology_ranking_only,3
czr005.g4irsf13.fault_control.v1,7,6,8,7,True,0,0,1,False,True,True,"[""single_7"",""pair_1_7"",""pair_5_7"",""triple_4_6_7""]",10,offline_reachability_and_topology_ranking_only,7
czr005.g4irsf13.fault_control.v1,8,6,12,25,True,0,0,1,False,True,True,"[""single_8"",""triple_3_5_8""]",10,offline_reachability_and_topology_ranking_only,8
