case_id,scenario,task_id,segment_id,current_node,goal_node,candidate_next_nodes,selected_next,decision_source,model_margin,fallback_reason,wait,pressure,path_history,tth_delta,failure_reason,why_hard
g4irsf10-000001,paper_main_2_5_repeat_1,0,0:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000002,paper_main_2_5_repeat_1,1,1:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000003,paper_main_2_5_repeat_1,2,2:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000004,paper_main_2_5_repeat_1,3,3:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000005,paper_main_2_5_repeat_1,4,4:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000006,paper_main_2_5_repeat_1,5,5:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000007,paper_main_2_5_repeat_1,6,6:storage_in,5,47,"[19, 18, 22, 24]",19,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[5, 19, 18, 22, 24, 27, 28, 47]",-133.000004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000008,paper_main_2_5_repeat_1,7,7:storage_in,3,47,"[16, 17, 18, 22]",16,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 2, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[3, 16, 17, 18, 22, 24, 27, 28, 47]",-129.600004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000009,paper_main_2_5_repeat_1,8,8:storage_in,0,47,"[6, 12, 13, 23]",6,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[0, 6, 12, 13, 23, 24, 27, 28, 47]",-133.200004,,"[""model_vs_fallback_disagreement""]"
g4irsf10-000010,paper_main_2_5_repeat_1,9,9:storage_in,4,47,"[17, 18, 22, 24]",17,fallback,,risk_gated_or_node_window_fallback,0,"{""fallback_calls"": 1, ""loop_count"": 0, ""source_retry_count"": 0, ""source_wait_seconds"": 0.0, ""wait_seconds"": 0.0}","[4, 17, 18, 22, 24, 27, 28, 47]",-132.200004,,"[""model_vs_fallback_disagreement""]"
