mode,kind,repeat_count,mean_seconds,median_seconds,std_seconds,ci95_seconds,min_seconds,max_seconds,p95_seconds,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,tasks_per_second,decisions_per_second,notes
model_only_no_astar,policy_ablation_cpp,3,0.3698348,0.3679704,0.00645471,0.00730419,0.3645175,0.3770165,0.3770165,4449,4449,0,0,34477,0,12029.69542018,93222.70375401,diagnostic_model_only
pibt_lite_only,policy_ablation_cpp,3,2.30431207,2.3156767,0.02487861,0.0281528,2.2757807,2.3214788,2.3214788,582,4449,0,0,0,98518,1930.72807466,42753.7578017,diagnostic_rule_only
model_plus_pibt_lite,policy_ablation_cpp,3,0.40326267,0.3984392,0.00952729,0.01078114,0.3971117,0.4142371,0.4142371,4449,4449,0,0,35235,6612,11032.51148367,103771.07396206,candidate
model_plus_static_distance_fallback,policy_ablation_cpp,3,0.40293273,0.4018183,0.00459837,0.00520355,0.398994,0.4079859,0.4079859,4449,4449,0,0,35262,6639,11041.54523161,103990.06220495,candidate
model_plus_node_window_greedy,policy_ablation_cpp,3,0.3989585,0.3973762,0.00430847,0.0048755,0.3956649,0.4038344,0.4038344,4449,4449,0,0,35242,6619,11151.53581112,104925.70028976,candidate
model_plus_k_step_local_window,policy_ablation_cpp,3,0.50704853,0.5062325,0.00331535,0.00375167,0.5042174,0.5106957,0.5106957,4449,4449,0,0,39269,6964,8774.3079945,91180.62070351,candidate
model_plus_pibt_lite_risk_abstain_off,policy_ablation_cpp,3,0.3657255,0.3622075,0.00625827,0.0070819,0.3620179,0.3729511,0.3729511,4449,4449,0,0,34477,0,12164.86134948,94270.15615783,risk_gate_ablation
model_plus_pibt_lite_no_historical_risk,policy_ablation_cpp,3,0.39585957,0.395546,0.0010578,0.00119701,0.394994,0.3970387,0.3970387,4449,4449,0,0,35235,5175,11238.83410826,102081.65572374,risk_gate_ablation
model_plus_pibt_lite_no_bottleneck_risk,policy_ablation_cpp,3,0.40281207,0.3968945,0.01073727,0.01215037,0.3963355,0.4152062,0.4152062,4449,4449,0,0,35235,6612,11044.85284222,103887.15596498,risk_gate_ablation
model_plus_pibt_lite_margin_only,policy_ablation_cpp,3,0.36884347,0.3662267,0.00531535,0.00601488,0.3653438,0.3749599,0.3749599,4449,4449,0,0,35235,1689,12062.0273967,100107.50721417,risk_gate_ablation
