case,policy,task_count,has_fault_schedule,replan_interval_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_tick_count,cpp_tick_count,python_active_ticks,cpp_active_ticks,python_decision_ticks,cpp_decision_ticks,python_peak_active_bags,cpp_peak_active_bags,python_mean_active_bags,cpp_mean_active_bags,python_active_bag_tick_seconds,cpp_active_bag_tick_seconds,python_elapsed_seconds,cpp_elapsed_seconds,python_decisions_per_second,cpp_decisions_per_second,accounted_pass,conflict_pass,tick_parity_pass,audit_pass
synthetic_seed7_medium_repair,edge_score_event,18,True,5.0,18,18,0,0,55,55,14,14,14,14,13,13,4,4,2.5,2.5,175.0,175.0,0.01354050001828,0.0063045,4061.8884033638847,8723.927353477675,True,True,True,True
synthetic_seed7_medium_repair,fallback_event,18,True,5.0,18,18,0,0,55,55,14,14,14,14,13,13,4,4,2.5,2.5,175.0,175.0,0.004793400003109127,0.0070058,11474.110227463914,7850.638042764566,True,True,True,True
synthetic_seed11_dense_multi_repair,edge_score_event,24,True,5.0,16,16,8,8,112,112,11,11,11,11,10,10,9,9,5.363636363636363,5.363636363636363,295.0,295.0,0.02574279997497797,0.0104618,4350.731082433306,10705.614712573362,True,True,True,True
synthetic_seed11_dense_multi_repair,fallback_event,24,True,5.0,16,16,8,8,112,112,11,11,11,11,10,10,9,9,5.363636363636363,5.363636363636363,295.0,295.0,0.007238999998662621,0.0090329,15471.750244604447,12399.118776915499,True,True,True,True
synthetic_seed17_static_plus_repair,edge_score_event,20,True,5.0,12,12,8,8,97,97,13,13,13,13,12,12,6,6,4.076923076923077,4.076923076923077,265.0,265.0,0.021760599978733808,0.0103352,4457.597680890974,9385.401346853472,True,True,True,True
synthetic_seed17_static_plus_repair,fallback_event,20,True,5.0,12,12,8,8,97,97,13,13,13,13,12,12,6,6,4.076923076923077,4.076923076923077,265.0,265.0,0.006668000016361475,0.00758,14547.090546188983,12796.833773087072,True,True,True,True
synthetic_seed23_repeated_repair,edge_score_event,22,True,5.0,20,20,2,2,85,85,11,11,11,11,10,10,8,8,5.363636363636363,5.363636363636363,295.0,295.0,0.020111700054258108,0.0079058,4226.395569279761,10751.600091072378,True,True,True,True
synthetic_seed23_repeated_repair,fallback_event,22,True,5.0,19,19,3,3,93,93,11,11,11,11,10,10,8,8,5.454545454545454,5.454545454545454,300.0,300.0,0.007049799954984337,0.0069314,13191.86368320243,13417.202873878294,True,True,True,True
synthetic_seed31_merge_buffer,edge_score_event,26,True,5.0,22,22,4,4,104,104,8,8,8,8,8,8,12,12,7.25,7.25,290.0,290.0,0.027372299984563142,0.0114359,3799.4615015417685,9094.168364536241,True,True,True,True
synthetic_seed31_merge_buffer,fallback_event,26,True,5.0,22,22,4,4,104,104,8,8,8,8,8,8,12,12,7.25,7.25,290.0,290.0,0.00916220003273338,0.0093177,11350.985530597876,11161.552743702845,True,True,True,True
