run_id,metric,kind,value,task_count
full_manifest_348824_continuous_state,bottleneck_score_computation,seconds,0.4467073,348824
full_manifest_348824_continuous_state,candidate_enumeration,seconds,0.4923415,348824
full_manifest_348824_continuous_state,earliest_safe_reservation_lookup,seconds,24.5901686,348824
full_manifest_348824_continuous_state,edge_overlap_diagnostic,seconds,0.6672707,348824
full_manifest_348824_continuous_state,feature_row_computation,seconds,6.3593791,348824
full_manifest_348824_continuous_state,graph_construction,seconds,0.0000605,348824
full_manifest_348824_continuous_state,historical_risk_lookup,seconds,0.4282252,348824
full_manifest_348824_continuous_state,model_construction,seconds,0.0000109,348824
full_manifest_348824_continuous_state,model_inference,seconds,3.5691263,348824
full_manifest_348824_continuous_state,node_window_conflict_audit,seconds,189.0752383,348824
full_manifest_348824_continuous_state,per_window_aggregation,seconds,0.0103843,348824
full_manifest_348824_continuous_state,pibt_lite_fallback_scoring,seconds,21.1114579,348824
full_manifest_348824_continuous_state,pybind_payload_construction,seconds,0.0000117,348824
full_manifest_348824_continuous_state,reservation_append,seconds,4.8979933,348824
full_manifest_348824_continuous_state,risk_gate_rule_override,seconds,0.5538632,348824
full_manifest_348824_continuous_state,runtime_selection_validation,seconds,0.3634078,348824
full_manifest_348824_continuous_state,score_sort_margin,seconds,0.5150883,348824
full_manifest_348824_continuous_state,source_reservation_lookup,seconds,0.1110395,348824
full_manifest_348824_continuous_state,task_row_construction,seconds,0.0259496,348824
full_manifest_348824_continuous_state,trace_row_construction,seconds,0.0039054,348824
full_manifest_348824_continuous_state,window_route_grouping,seconds,0.9346467,348824
full_manifest_348824_continuous_state,earliest_safe_lookup_count,counter,3788464,348824
full_manifest_348824_continuous_state,earliest_safe_scan_count,counter,12229900786,348824
