case_id,case_group,case_role,comparison_reference_case_id,status,standard_speed_mps,actual_speed_mps,deviation_percent,fault_line_ids,seed_edges,mapping_evidence,protocol_fidelity,paper_reported,exact_fresh_status,completed_segments,completed_raw_bags,tth_min_minutes,tth_mean_minutes,tth_p95_minutes,tth_p99_minutes,tth_max_minutes,completed_raw_bag_rate,finish_le_std_rate,finish_le_std_minus_2700_rate,strict_s4_safety_pass,admission_safety_pass,safety_admission_mode,business_failed_raw_bags,business_failure_is_safety_failure,topology_reachable_raw_bag_upper_bound,primary_success_topology_saturated,secondary_metrics_censored_by_event_limit,admitted_claim_scope,topology_saturation_safety_pass,wall_seconds,reference_tth_mean_minutes,tth_mean_delta_vs_reference_minutes
t5_2_speed_1p5,stable_speed,nominal_reference,,COMPLETE,1.5,1.5,0,[],[],NOT_APPLICABLE,MATCHED_SPEED_RECONSTRUCTION_ON_ACTIVE_S4,"{""max"": 9.68, ""mean"": 6.44, ""min"": 5.1}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,5.088922222221906,5.718686732227889,6.722288888889003,6.805622222221791,9.205622222222397,1.0,1.0,0.4123342454220164,True,True,G24_STRICT_S4,0,False,,,,,,24.085946699982742,,
t5_2_speed_2,stable_speed,nominal_reference,,COMPLETE,2.0,2.0,0,[],[],NOT_APPLICABLE,MATCHED_SPEED_RECONSTRUCTION_ON_ACTIVE_S4,"{""max"": 7.37, ""mean"": 4.93, ""min"": 3.87}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.8666999999998857,4.325176983792843,5.075066666666681,5.12506666666668,5.808400000000014,1.0,1.0,0.42219181926611943,True,True,G24_STRICT_S4,0,False,,,,,,23.572789699974237,,
t5_2_speed_2p5,stable_speed,nominal_reference,,COMPLETE,2.5,2.5,0,[],[],NOT_APPLICABLE,MATCHED_SPEED_RECONSTRUCTION_ON_ACTIVE_S4,"{""max"": 5.98, ""mean"": 3.96, ""min"": 3.13}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,3.133366666666431,3.512828910872565,4.120066666666389,4.233400000000241,6.790066666666584,1.0,1.0,0.4293482073949344,True,,,,,,,,,,25.37372430000687,,
t5_2_speed_3,stable_speed,nominal_reference,,COMPLETE,3.0,3.0,0,[],[],NOT_APPLICABLE,MATCHED_SPEED_RECONSTRUCTION_ON_ACTIVE_S4,"{""max"": 5.05, ""mean"": 3.37, ""min"": 2.63}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,2.638922222222027,2.9528191663352903,3.4611777777776296,3.5164555555554045,5.016733333333225,1.0,1.0,0.4329614817933067,True,True,G24_STRICT_S4,0,False,,,,,,23.424725000018952,,
t5_4_std_1p5_dev_10,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_1p5,COMPLETE,1.5,1.35,10,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 6.45, ""improvement"": 2.12, ""static"": 6.59}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,5.632132098765457,6.334348910344213,7.451146913580305,7.530313580246851,9.86179506172848,1.0,1.0,0.4038448046025398,True,True,G24_STRICT_S4,0,False,,,,,,24.198117499996442,5.718686732227889,0.6156621781163238
t5_4_std_1p5_dev_20,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_1p5,COMPLETE,1.5,1.2000000000000002,20,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 6.67, ""improvement"": 2.77, ""static"": 6.86}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,6.311144444444168,7.100871087178465,8.352844444444418,8.427774999999857,9.419511111111206,1.0,1.0,0.3923384550620922,True,True,G24_STRICT_S4,0,False,,,,,,24.3925907999801,5.718686732227889,1.3821843549505761
t5_4_std_1p5_dev_30,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_1p5,COMPLETE,1.5,1.0499999999999998,30,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 6.91, ""improvement"": 2.81, ""static"": 7.11}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,7.184160317460192,8.096516712883663,9.517526984126926,9.600860317460258,10.42407460317451,1.0,1.0,0.37935873149512384,True,True,G24_STRICT_S4,0,False,,,,,,24.289709100004984,5.718686732227889,2.3778299806557737
t5_4_std_2_dev_10,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2,COMPLETE,2.0,1.8,10,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 4.92, ""improvement"": 2.96, ""static"": 5.07}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,4.274107407406943,4.7953905320775485,5.6332842592589865,5.701918518518141,6.920437037036391,1.0,1.0,0.4191398302111836,True,True,G24_STRICT_S4,0,False,,,,,,24.109035900008166,4.325176983792843,0.47021354828470585
t5_4_std_2_dev_20,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2,COMPLETE,2.0,1.6,20,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 5.16, ""improvement"": 3.73, ""static"": 5.36}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,4.783366666666552,5.371409940597258,6.302150000000256,6.372983333333347,7.464650000000014,1.0,1.0,0.413351575106995,True,True,G24_STRICT_S4,0,False,,,,,,23.774925600009738,4.325176983792843,1.046232956804415
t5_4_std_2_dev_30,speed_deviation,degraded_actual_dual_speed_reconstruction,t5_2_speed_2,COMPLETE,2.0,1.4,30,[],[],NOT_APPLICABLE,RECONSTRUCTION_STANDARD_HEURISTIC_ACTUAL_EDGE_TIME_NOT_THE_ORIGINAL_DEVIATION_SIMULATOR,"{""dynamic"": 5.42, ""improvement"": 3.56, ""static"": 5.62}",EXACT_G24_LIFECYCLE_ALIGNED,43603,28506,5.438128571428388,6.114515840608314,7.1786380952381785,7.254828571428394,8.281019047618974,1.0,1.0,0.40430084894408197,True,True,G24_STRICT_S4,0,False,,,,,,22.848760199995013,4.325176983792843,1.7893388568154718
