current_node,target_candidates,case_count,teacher_distribution,entropy,mean_2hop_pressure_gap_between_targets,mean_hop_gap_between_targets,diagnosis,recommendation
6,"[8, 12]",489,"{""8"": 221, ""12"": 268}",0.99332589,0,0.27105423,local_features_overlap_tie_sensitive,risk_head_or_fallback_still_needed
11,"[13, 14]",1165,"{""13"": 904, ""14"": 261}",0.76746596,0,0.82135591,local_features_overlap_tie_sensitive,risk_head_or_fallback_still_needed
16,"[17, 21]",670,"{""17"": 412, ""21"": 258}",0.96154736,0,1.21647099,mixed_context_branch_preference,use_enhanced_features_and_calibrated_risk_head
19,"[18, 25]",657,"{""18"": 351, ""25"": 306}",0.99661328,0,-3.88453159,mixed_context_branch_preference,use_enhanced_features_and_calibrated_risk_head
