case,policy,fault_edges,max_tasks,planned_count,unplanned_count,decision_count,shield_blocks,unsafe_proposals,post_shield_conflicts,mean_travel_time,makespan,elapsed_seconds,decisions_per_second
native_first8,edge_score_runtime,none,8,8,0,78,0,0,0,49.749999999999545,10122.28213,0.0163985,4756.532609689911
native_first8,shortest_safe_fallback,none,8,8,0,73,0,0,0,55.224999999999,10126.482129999999,0.0157832,4625.171067971007
native_first16,edge_score_runtime,none,16,16,0,173,0,0,0,57.01249999999948,10753.88828,0.0369794,4678.2803398648975
native_first16,shortest_safe_fallback,none,16,16,0,198,0,0,0,58.7999999999995,10753.88828,0.0316518,6255.5684036926805
native_fault_alt_route_first8,edge_score_runtime,16->17,8,8,0,74,0,0,0,51.849999999999,10126.482129999999,0.0133548,5541.078863030521
native_fault_alt_route_first8,shortest_safe_fallback,16->17,8,8,0,73,0,0,0,55.224999999999,10126.482129999999,0.0151301,4824.819399739592
native_fault_goal_exit_first8,edge_score_runtime,28->47,8,8,0,186,0,0,0,146.75000000000045,10275.482130000002,0.045875,4054.4959128065398
native_fault_goal_exit_first8,shortest_safe_fallback,28->47,8,8,0,155,0,0,0,132.5749999999996,10204.082129999999,0.0337155,4597.292046684759
