scenario,family,task_offset,max_tasks,fault_edges,fault_windows,node_capacities,merge_groups,merge_capacity,merge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_replans,cpp_replans,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_holds,cpp_holds,python_conflicts,cpp_conflicts,python_mean_travel_time,cpp_mean_travel_time,mean_travel_abs_diff,python_makespan,cpp_makespan,makespan_abs_diff,python_elapsed_seconds,cpp_elapsed_seconds,cpp_speedup,parity_pass,first_mismatch_field,python_value,cpp_value,notes
legacy_first16,rolling_horizon_sipp,0,16,none,none,none,none,1,0.0,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,52.74050093749918,52.74050093749918,0.0,10733.178849999998,10733.178849999998,0.0,0.038832099991850555,0.02706760005094111,1.4346340243970173,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16,periodic_replanning_sipp,0,16,none,none,none,none,1,0.0,16,16,0,0,120,120,120,120,99,99,6,6,0,0,0,0,77.86919356250007,77.86919356250007,0.0,10755.1686,10755.1686,0.0,0.04648660006932914,0.13613210001494735,0.3414815467051849,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16,pibt_active_bag_replay,0,16,none,none,none,none,1,0.0,0,0,16,16,18599,18599,0,0,2048,2048,16,16,7042,7042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.579639500007033,5.135981500032358,0.8916775693172143,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16,edge_score_event,0,16,none,none,none,none,1,0.0,16,16,0,0,173,173,0,0,0,0,0,0,0,0,0,0,57.01249999999948,57.01249999999948,0.0,10753.88828,10753.88828,0.0,0.5143745000241324,0.0451312999939546,11.39728968793351,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16,fallback_event,0,16,none,none,none,none,1,0.0,15,15,1,1,168,168,0,0,0,0,0,0,0,0,0,0,57.6933333333327,57.6933333333327,0.0,10753.88828,10753.88828,0.0,0.03327070001978427,0.034206499927677214,0.9726426290362503,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16_buffer2,rolling_horizon_sipp,0,16,none,none,28:2;47:2,none,1,0.0,16,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,52.74050093749918,52.74050093749918,0.0,10733.178849999998,10733.178849999998,0.0,0.007387500023469329,0.021994000067934394,0.335887060136903,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16_buffer2,periodic_replanning_sipp,0,16,none,none,28:2;47:2,none,1,0.0,16,16,0,0,120,120,120,120,99,99,6,6,0,0,0,0,77.86919356250007,77.86919356250007,0.0,10755.1686,10755.1686,0.0,0.042001100024208426,0.12740590004250407,0.32966369697318865,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16_buffer2,pibt_active_bag_replay,0,16,none,none,28:2;47:2,none,1,0.0,0,0,16,16,18599,18599,0,0,2048,2048,16,16,7042,7042,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.40620890003629,5.069465899956413,0.8691662962116334,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16_buffer2,edge_score_event,0,16,none,none,28:2;47:2,none,1,0.0,16,16,0,0,173,173,0,0,0,0,0,0,0,0,0,0,57.01249999999948,57.01249999999948,0.0,10753.88828,10753.88828,0.0,0.09157509997021407,0.04229869996197522,2.164962517820555,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first16_buffer2,fallback_event,0,16,none,none,28:2;47:2,none,1,0.0,15,15,1,1,168,168,0,0,0,0,0,0,0,0,0,0,57.6933333333327,57.6933333333327,0.0,10753.88828,10753.88828,0.0,0.034016799996607006,0.036741500021889806,0.9258413504168452,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
legacy_first32,rolling_horizon_sipp,0,32,none,none,none,none,1,0.0,32,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,63.670162656248806,63.670162656248806,0.0,11368.216359999997,11368.216359999997,0.0,0.01871129998471588,0.05663400003686547,0.33038987132351416,True,none,,,"single local timing pass; matched scenario row, not final paper-grade timing"
