combination,status,policy,reservation_semantics,task_path,complete_bags,processed_segment_count,planned_segments,failed_segments,mean_tht,delta_vs_g6_official_min,gap_vs_original_min,source_retry_count,source_wait_seconds,wait_seconds,fallback_calls,loop_count,node_window_conflicts,runtime_full_astar_calls,promotion_status,note
official_baseline,PASS,model_plus_pibt_lite,baseline,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,28506,43603,43603,0,3.97610989,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted,single-item variants were validated before this combination
route_quality_balanced,PASS,route_quality_balanced,baseline,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,28506,43603,43603,0,3.97443106,-0.00167883,0.00730835,14895,0.98307199,693006.70363043,87193,91,0,0,diagnostic_improvement_only,single-item variants were validated before this combination
java_source_queue_one_per_epoch,PASS,model_plus_pibt_lite,baseline,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,28506,43603,43603,0,3.55659385,-0.41951604,-0.41052886,0,0,103929.26183284,83320,0,0,0,candidate_noninferior_strict,"per source, release at max(floor(pass_time), previous_source_release+1)"
open_end_boundary,PASS,model_plus_pibt_lite,reservation_open_end_boundary,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,28506,43603,43603,0,3.97426825,-0.00184164,0.00714554,0,0,682072.83963999,86663,131,0,0,diagnostic_improvement_only,single-item variants were validated before this combination
source_queue_plus_route_quality,PASS,route_quality_balanced,baseline,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,28506,43603,43603,0,3.55646991,-0.41963998,-0.4106528,0,0,107362.67245984,83578,0,0,0,candidate_noninferior_strict,single-item variants were validated before this combination
source_queue_plus_open_end,PASS,model_plus_pibt_lite,reservation_open_end_boundary,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,28506,43603,43603,0,3.54670701,-0.42940288,-0.4204157,0,0,88160.79999999,82592,0,0,0,candidate_noninferior_strict,single-item variants were validated before this combination
source_queue_plus_open_end_plus_route_quality,PASS,route_quality_balanced,reservation_open_end_boundary,C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,28506,43603,43603,0,3.54803831,-0.42807158,-0.4190844,0,0,93323.39999999,82964,0,0,0,candidate_noninferior_strict,single-item variants were validated before this combination
