stratum_id,scenario,scale,source,goal,junction,fault,reason,tail,total_count_before_dedupe,unique_total_count,deterministic_repeats_removed,requested_minimum_quota,effective_quota,maximum_quota,minimum_quota_satisfied,sample_weight
00a71a6faf141ee83aaa,trace_highflow_2p5,2.5,5,49,37,no_fault,downstream_pressure+local_queue_pressure,body,9,9,0,1,9,64,true,1.0
00b0894cb08e1d74d66a,trace_highflow_4p0,4.0,0,50,40,no_fault,p95_tail,p95_tail,1,1,0,1,1,64,true,1.0
00b4126050ec44e65a51,trace_highflow_2p5,2.5,53,49,32,no_fault,downstream_pressure,body,2,2,0,1,2,64,true,1.0
00bff59b9ce3769b0476,trace_fault_delayed,2.5,1,50,36,fault_scenario_inactive_here,downstream_pressure,body,9,9,0,1,9,64,true,1.0
00e050f8c4690cdd46f2,trace_highflow_4p0,4.0,3,48,27,no_fault,downstream_pressure+p95_tail,p95_tail,2,2,0,1,2,64,true,1.0
00e9946b9837b3694068,trace_highflow_4p0,4.0,2,50,7,no_fault,p95_tail,p95_tail,6,6,0,1,6,64,true,1.0
01131f62087fbf053382,trace_fault_delayed,2.5,52,49,41,fault_scenario_inactive_here,downstream_pressure+local_queue_pressure+source_queue_delay+source_queue_long_backlog,body,2,2,0,1,2,64,true,1.0
01a938f79bd23836d024,trace_highflow_2p5,2.5,2,50,2,no_fault,p95_tail,p95_tail,10,10,0,1,10,64,true,1.0
01edc61165994691dee8,trace_highflow_2p5,2.5,52,49,52,no_fault,source_queue_delay+source_queue_long_backlog,body,81,81,0,1,64,64,true,1.265625
02108a5eba90e783640c,trace_highflow_2p5,2.5,53,50,44,no_fault,downstream_pressure,body,2,2,0,1,2,64,true,1.0
028c08b2262971c678f7,trace_highflow_4p0,4.0,2,47,27,no_fault,downstream_pressure,body,9,9,0,1,9,64,true,1.0
02a3ce916b5d5d9dbd78,trace_fault_delayed,2.5,52,49,52,fault_scenario_inactive_here,downstream_pressure+fallback_or_shield_selected+local_queue_pressure+model_fallback_disagreement+risk_gate_triggered+rule:pibt_lite_safe_handoff+source_queue_delay+source_queue_long_backlog,body,7,7,0,1,7,64,true,1.0
