scenario,event_variant,edge,event_type,segment_id,task_id,time_start,time_end,occupying_task_id,occupancy_start,occupancy_end,queue_length,queue_rank,deadline_slack,blocked_reason
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,2:storage_in,2,8882.216299,8883.445453,1,8875.05,8883.45,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,2:storage_in,2,8883.216299,8883.445453,1,8875.05,8883.45,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,3:storage_in,3,8889.800872000002,8892.616299,2,8884.22,8892.62,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,3:storage_in,3,8890.800872000002,8892.616299,2,8884.22,8892.62,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,3:storage_in,3,8891.800872000002,8892.616299,2,8884.22,8892.62,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,22->24,wait_for_release,2:storage_in,2,8893.616299,8894.845453,1,8884.45,8894.85,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,5:storage_in,5,9477.815484,9480.682986000002,4,9472.28,9480.68,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,5:storage_in,5,9478.815484,9480.682986000002,4,9472.28,9480.68,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,5:storage_in,5,9479.815484,9480.682986000002,4,9472.28,9480.68,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,22->24,wait_for_release,5:storage_in,5,9490.215484,9492.082986000001,4,9481.68,9492.08,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10094.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10095.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10096.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10097.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10098.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10099.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,18->22,wait_for_release,10:storage_in,10,10100.37294,10100.934140000001,9,10092.5,10100.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,22->24,wait_for_release,9:storage_in,9,10101.934140000001,10102.88213,7,10092.5,10102.9,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,8:storage_in,8,10113.706480000003,10117.28213,7,10106.5,10117.3,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,8:storage_in,8,10114.706480000003,10117.28213,7,10106.5,10117.3,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,8:storage_in,8,10115.706480000003,10117.28213,7,10106.5,10117.3,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,8:storage_in,8,10116.706480000003,10117.28213,7,10106.5,10117.3,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,24->27,wait_for_release,10:storage_in,10,10122.172939999999,10122.639820000002,11,10121,10122.6,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,11:storage_in,11,10123.639820000002,,8,10117.7,10128.5,2,2,,edge_capacity
legacy_first16,g3d_reroute_anchor,27->28,wait_for_release,11:storage_in,11,10124.639820000002,,8,10117.7,10128.5,2,2,,edge_capacity
