repeat,start_epoch,max_epochs,max_new_tasks,epochs_run,generated_count,planned_count,completed_count,fault_event_count,repair_event_count,active_fault_count,generated_fault_edge_count,generated_repair_edge_count,active_route_count,unfinished_count,route_size_checksum,route_location_checksum,last_epoch
1,8260,5000,64,4211,64,62,0,0,0,69,145314,145245,0,2,559,80333,12470.0
2,8260,5000,64,4211,64,62,0,0,0,69,145314,145245,0,2,559,80333,12470.0
3,8260,5000,64,4211,64,62,0,0,0,69,145314,145245,0,2,559,80333,12470.0
