schema,candidate,split,row_count,activation_count,activation_coverage,beneficial_activation_count,harmful_activation_count,neutral_activation_count,beneficial_precision,beneficial_recall,harmful_activation_rate,high_confidence_harmful_precision,neutral_activation_rate,target_panel_abstention_rate,direct_benefit_sum_seconds,direct_benefit_mean_seconds,risk_adjusted_utility_sum_seconds,risk_adjusted_utility_mean_seconds,risk_adjusted_utility_lcb_seconds,externality_cvar95_mean_seconds,externality_cvar95_max_seconds
czr005.g4irsf16.i4_offline_ab.v1,D0_calibrated_logistic,calibration,153,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
czr005.g4irsf16.i4_offline_ab.v1,D0_calibrated_logistic,validation,164,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,,
