policy,planned_count,max_tasks,teacher_planned_scope,teacher_unplanned_count,node_window_conflicts,runtime_interface_decisions,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_astar_emergency_calls,full_cie_astar_fallback_calls,estimated_original_cie_astar_calls,full_cie_astar_reduction_rate,zero_full_astar_task_count,zero_full_astar_task_share,zero_full_astar_interface_share,route_exact_count,deviated_but_success_count,failed_count,mean_transport_time,mean_wait_seconds,source_retry_count,runtime_source_wait_task_count,nonprogress_steps,loop_count,wall_clock_seconds,notes,runtime_role,edge_capacity_primary,elapsed_total_seconds
cie_retry_teacher_offline_reference,4449,4496,4449,47,0,,0,0,0,0,15852,15852,0,0,0,0,4449,0,47,,,962,,,,,Offline verified CIE/A* retry teacher; not a no-A* runtime policy.,reference,False,64.3579467
g4e_model_plus_cie_fallback_reference,4449,4496,4449,47,0,,,,0,0,6395,15852,0.59658087,76,0.01708249,,4449,0,0,,,962,,,,,G4E route-exact reference still uses verified CIE/A* as runtime fallback.,reference,False,64.3579504
model_only_no_astar,4449,4496,4449,47,0,34477,34477,34477,0,0,0,15852,1,4449,1,1,2850,1599,0,69.19758337,1.28137748,962,34,2264,0,7.8091574,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579523
model_plus_static_distance_fallback,4449,4496,4449,47,0,35262,35262,28623,6639,0,0,15852,1,4449,1,1,3072,1377,0,68.51700021,1.2544693,962,34,2311,0,8.6891615,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579539
model_plus_node_window_aware_fallback,4449,4496,4449,47,0,35242,35242,28623,6619,0,0,15852,1,4449,1,1,3096,1353,0,68.41221021,1.07982091,962,34,2224,0,8.8215688,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579557
model_plus_pibt_lite_fallback,4449,4496,4449,47,0,35235,35235,28623,6612,0,0,15852,1,4449,1,1,3097,1352,0,68.41042475,1.07322538,962,34,2214,0,8.7093689,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579573
model_plus_local_window_k3_fallback,4449,4496,4449,47,0,36886,36886,30403,6483,0,0,15852,1,4449,1,1,2752,1697,0,73.75743802,1.54089498,962,34,2400,0,9.611292,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579591
model_plus_static_traffic_map_fallback,4449,4496,4449,47,0,40604,40604,33481,7123,0,0,15852,1,4449,1,1,2832,1617,0,78.9053148,0.92289178,962,34,3368,1508,10.6653593,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579624
model_plus_local_window_k3_bounded_emergency,4449,4496,4449,47,0,36886,36886,30403,6483,0,0,15852,1,4449,1,1,2752,1697,0,73.75743802,1.54089498,962,34,2400,0,9.4045818,No full CIE/A* runtime fallback; local waits preserve node-window safety.,g4f_no_full_astar_runtime,False,64.3579641
