schema,descriptor_id,split,signed_class,beneficial_label,harmful_label,benefit_probability_mean,benefit_probability_lcb,harmful_probability_mean,harmful_probability_ucb,utility_mean_seconds,utility_lcb_seconds,activation
czr005.g4irsf16.calibration.v1,0734f2af0eb75c43689836999f8e82d93e6f86cf1cc4388e42d2b9a40de6759f,calibration,HARMFUL,0,1,0.0056262475299693315,0.002373736100287631,0.3759326978016318,0.4513068412050187,0.7794003971838631,0.45424039155617657,False
czr005.g4irsf16.calibration.v1,08756210c445cda06f3294c22dcabdf46a3a250d26679bfd5205d283f277aea4,calibration,HARMFUL,0,1,0.005561466159854458,0.0018101560186320907,0.8562602364376362,0.8914550876806361,-0.8259809471513783,-1.152387903503043,False
czr005.g4irsf16.calibration.v1,0a7728fc1b8497cb68d5bfe88e5289bd5ea66139650f4e50db1791d864f3e717,calibration,NEUTRAL,0,0,0.039512241546128674,0.021176537131356653,0.4396071580746594,0.5441215023517751,-0.6604635241742687,-1.0933666063166594,False
czr005.g4irsf16.calibration.v1,0aa9cabf3287e060726e3e46ea81ac4055043893ebd158692940ff8900183c1b,calibration,NEUTRAL,0,0,0.012941603836590765,0.0017332392902922533,0.8435264997996956,0.8907748204774601,-1.1522400386118878,-1.516906319811675,False
czr005.g4irsf16.calibration.v1,0dee5dfaf569dcefd470d0b6200e1a40434f05ae95a2d02d9c602281e5498054,calibration,HARMFUL,0,1,0.004288226168782931,0.0017809258379578848,0.2774152625759157,0.3567934906136782,-0.253694162127536,-0.6795362087428962,False
czr005.g4irsf16.calibration.v1,0e980f10949e3cd2492b3cc9a7cb01763c5801deb494989fd0553011d81b5ba4,calibration,HARMFUL,0,1,0.005655637280048422,0.0010013341145284182,0.7505769937920515,0.7921288016472152,-1.200294825149709,-1.5668203796266211,False
czr005.g4irsf16.calibration.v1,0eb1d19606f1b64a0a7419640f9f9c00be6bb5a56943031853894fe6eda20769,calibration,HARMFUL,0,1,0.0053102221431520465,0.0028551994772606244,0.866305972812356,0.9182614330328946,-1.0481277411751073,-1.4427642209834026,False
czr005.g4irsf16.calibration.v1,137c9d6c25b2a5cb9f72bcd5319597f2827e481cc9ef108321b2dcf6f67a064a,calibration,NEUTRAL,0,0,0.003623255857247409,0.0015775910021906393,0.518313263344517,0.6151481262323464,0.3476509498791095,0.04994106493178485,False
czr005.g4irsf16.calibration.v1,1440778223bbe1240b80ccf25d0393456c959dc1715424844fa7a6f7e324bc15,calibration,NEUTRAL,0,0,0.000867194682708434,0.00035139332215382817,0.7104415894312717,0.7740539367145539,-0.18988128701603024,-0.3858029498705434,False
czr005.g4irsf16.calibration.v1,167f5e573ac688719ece58a0f6098e6297fd9bb4e148c8d3c85aad754ea75ad6,calibration,NEUTRAL,0,0,0.007170517989835015,0.004072741032422561,0.6525036761515616,0.7157061200991245,-1.4744697123220691,-2.367941916087104,False
