source,release_time_block,row_count,mean_delta_total_seconds,mean_delta_source_wait_seconds,mean_delta_route_wait_inclusive_seconds,mean_coordination_residual_delta_seconds,mean_delta_network_seconds,s4_slower_fraction
node_0,10,354,50.781682084724366,17.9590395480226,35.227761180777854,-2.4051186440760906,32.822642536701764,0.4887005649717514
node_0,11,202,81.21366788116251,0.0594059405940594,82.66081639602469,-1.506554455456245,81.15426194056845,0.693069306930693
node_0,12,310,59.04895936771347,0.45725806451612905,60.973133561271105,-2.38143225807376,58.59170130319734,0.6161290322580645
node_0,13,332,42.43894171383268,0.6521084337349398,42.693459786131946,-0.9066265060341995,41.786833280097746,0.6174698795180723
node_0,14,316,40.63864201263077,0.0,42.81970530377943,-2.181063291148659,40.63864201263077,0.5791139240506329
node_0,15,336,28.11288686009515,0.0,30.019577339270263,-1.906690479175116,28.11288686009515,0.5654761904761905
node_0,16,399,31.193064050102844,2.6140350877192984,31.04316430073793,-2.4641353383543865,28.579028962383546,0.531328320802005
node_0,17,287,67.06226390246555,19.365853658536587,50.19941374219102,-2.503003498262056,47.696410243928966,0.6062717770034843
node_0,18,350,78.47299176040404,24.809285714285714,56.268643571819744,-2.6049375257014096,53.663706046118335,0.6914285714285714
node_0,19,184,8.058153358908859,2.0815217391304346,10.13611034259196,-4.159478722813535,5.976631619778424,0.483695652173913
node_0,2,6,-6.2293508333365635,0.0,-6.233350833337378,0.004000000000814907,-6.2293508333365635,0.6666666666666666
node_0,20,142,8.688033796026323,0.0,9.051020218546192,-0.36298642251986935,8.688033796026323,0.5633802816901409
node_0,21,134,-0.2128336415949726,0.0,0.6544504255547672,-0.8672840671497397,-0.2128336415949726,0.6044776119402985
node_0,22,44,-0.48864511356970813,0.0,-0.4909173408546353,0.0022722272849271326,-0.48864511356970813,0.7272727272727273
node_0,3,46,7.695161521694622,26.347826086956523,-16.204490652218304,-2.4481739130435964,-18.652664565261897,0.32608695652173914
node_0,4,158,205.04157430367917,188.25,24.49390341760174,-7.702329113922582,16.79157430367916,0.740506329113924
node_0,5,616,169.27104678562787,83.29423701298701,94.36781626614639,-8.391006493505461,85.9768097726408,0.5616883116883117
node_0,6,840,508.253082421286,223.19970238095237,303.34083718319005,-18.287457142856248,285.05338004033376,0.7964285714285714
node_0,7,744,37.21567561938291,56.66129032258065,-6.603689972014592,-12.841924731183129,-19.44561470319772,0.30376344086021506
node_0,8,318,74.18580922010311,3.2979559748427674,71.9200545031245,-1.032201257864157,70.88785324526035,0.6572327044025157
node_0,9,282,55.06755576238804,15.445035460992909,42.73131462764648,-3.108794326251353,39.622520301395134,0.6312056737588653
node_1,10,356,47.60641448312561,17.18679775280899,33.2023245954908,-2.782707865174181,30.419616730316623,0.5028089887640449
node_1,11,200,89.73495643497655,0.03,92.36567643498536,-2.660720000008805,89.70495643497655,0.655
node_1,12,310,54.633416645134695,0.392741935483871,54.74733277417296,-0.5066580645221327,54.240674709650825,0.5967741935483871
node_1,13,334,38.66208420057938,0.656437125748503,39.26086863172244,-1.255221556891561,38.00564707483088,0.5538922155688623
node_1,14,316,54.848839028453064,0.0,55.12476307909275,-0.27592405063968944,54.848839028453064,0.5886075949367089
node_1,15,336,42.28375858330791,0.0,42.36823477379217,-0.08447619048426229,42.28375858330791,0.7232142857142857
node_1,16,396,42.31558170957966,5.613636363636363,38.07758170958754,-1.375636363644247,36.701945345943294,0.6792929292929293
node_1,17,287,72.08495832058995,20.071428571428573,54.10324403836254,-2.0897142892011664,52.01352974916137,0.6445993031358885
node_1,18,353,71.56863581340728,24.313031161473088,49.02996189271457,-1.7743572407803738,47.2556046519342,0.6628895184135978
node_1,19,182,12.726694747461787,1.0425824175824177,15.380464384812193,-3.6963520549328237,11.684112329879369,0.5384615384615384
node_1,2,4,-10.246054750014537,0.0,-10.250054750015352,0.004000000000814907,-10.246054750014537,0.0
node_1,20,140,15.204563214539666,0.0,15.20139224309574,0.0031709714439265165,15.204563214539666,0.6785714285714286
node_1,21,134,3.58558539571019,0.0,4.335048485248447,-0.7494630895382568,3.58558539571019,0.6492537313432836
node_1,22,48,-0.07700558328845848,0.0,1.2333281875326065,-1.310333770821065,-0.07700558328845848,0.6458333333333334
node_1,3,46,5.669118478231449,17.17391304347826,-5.426185869595785,-6.078608695651027,-11.504794565246812,0.4782608695652174
node_1,4,160,165.17929432490206,162.0953125,4.4012318249007425,-1.317249999998694,3.083981824902048,0.7125
node_1,5,614,173.7417843354163,90.17874592833876,87.74970941684846,-4.186671009770912,83.56303840707747,0.5618892508143323
node_1,6,842,857.9437518157869,471.645486935867,403.71359029559557,-17.41532541567632,386.29826487991926,0.8788598574821853
node_1,7,738,170.7891701623601,185.85873983739836,4.220132221981355,-19.28970189701979,-15.069569675038434,0.3821138211382114
node_1,8,308,58.00716993179539,1.8043831168831168,55.98239720452462,0.22038961038765298,56.20278681491227,0.5909090909090909
node_1,9,282,49.334671365225645,13.35195035460993,36.03060753544553,-0.047886524829819074,35.98272101061571,0.6418439716312057
node_2,10,354,45.38821063557321,14.07274011299435,33.24669086156826,-1.9312203389894071,31.315470522578856,0.5875706214689266
node_2,11,204,83.5072572695852,0.14338235294117646,84.41660040684951,-1.0527254902055003,83.36387491664402,0.7254901960784313
node_2,12,312,56.363972759589856,0.4543269230769231,55.211774041647985,0.6978717948649529,55.90964583651294,0.6314102564102564
node_2,13,330,38.569059254524895,1.0340909090909092,38.04236228483465,-0.5073939394006712,37.53496834543398,0.6515151515151515
node_2,14,315,53.73837470473654,0.0,54.45342232379097,-0.7150476190544266,53.73837470473654,0.6571428571428571
node_2,15,339,36.48385525366448,0.34365781710914456,36.409223985234206,-0.2690265486788679,36.14019743655533,0.7020648967551623
node_2,16,396,36.71317161614403,3.1698232323232323,34.598924146454834,-1.0555757626340405,33.5433483838208,0.7272727272727273
node_2,17,286,65.54801862240708,13.423951048951048,54.95605360842438,-2.8319860349683377,52.12406757345604,0.7237762237762237
node_2,18,354,65.67744440433978,27.002824858757062,38.245128407152144,0.4294911384305704,38.674619545582715,0.6581920903954802
node_2,19,184,15.18604705998049,1.985054347826087,15.758123625185402,-2.5571309130309996,13.200992712154402,0.6032608695652174
node_2,2,4,-0.14600250000057713,0.0,-0.15000250000139204,0.004000000000814907,-0.14600250000057713,0.75
node_2,20,140,18.228130985991758,0.0,18.259245778833947,-0.031114792842189282,18.228130985991758,0.6642857142857143
node_2,21,134,4.987166104673837,0.0,5.584300918092472,-0.5971348134186354,4.987166104673837,0.7388059701492538
node_2,22,48,1.1771616250389343,0.0,2.0499954583598687,-0.8728338333209346,1.1771616250389343,0.8125
node_2,3,42,-4.199746738148731,28.785714285714285,-29.05136578576873,-3.9340952380942844,-32.98546102386302,0.42857142857142855
node_2,4,164,138.02197713405317,126.38414634146342,18.469196646246683,-6.831365853656923,11.63783079258976,0.75
node_2,5,612,152.5600747303049,86.90972222222223,68.19816296559819,-2.547810457515309,65.65035250808285,0.5964052287581699
node_2,6,842,663.8687143062732,249.6561757719715,428.98107060080844,-14.768532066506273,414.21253853430267,0.7874109263657957
node_2,7,744,150.82493189895945,99.50033602150538,69.43053673766848,-18.10594086021438,51.32459587745411,0.4220430107526882
node_2,8,314,63.126688783415204,3.8869426751592355,59.10183528023251,0.13791082802346202,59.239746108255964,0.6592356687898089
node_2,9,280,57.97935793569153,13.647321428571429,45.41082222141457,-1.078785714294463,44.33203650712011,0.7821428571428571
node_3,10,674,25.34124790353953,14.233308605341247,16.343197458446042,-5.235258160247761,11.10793929819828,0.6261127596439169
node_3,11,541,21.402636870585688,0.0,24.48690304434821,-3.0842661737625248,21.402636870585688,0.5637707948243993
node_3,12,514,18.5521295738996,0.03842412451361868,25.233370819045604,-6.719665369659621,18.51370544938598,0.5116731517509727
node_3,13,465,7.528615202131319,0.04408602150537634,12.243174341926883,-4.75864516130094,7.484529180625943,0.46236559139784944
node_3,14,491,6.762882441933152,0.07077393075356415,13.666743949071469,-6.97463543789188,6.692108511179588,0.45417515274949083
node_3,15,468,7.163252767078719,0.36004273504273504,12.757423709396472,-5.954213677360487,6.803210032035984,0.44017094017094016
node_3,16,526,11.340517374531279,7.645912547528517,8.89072650952138,-5.196121682518617,3.6946048270027627,0.5285171102661597
node_3,17,530,28.12975335670293,22.63632075471698,12.17636095859287,-6.682928356606918,5.493432601985951,0.5754716981132075
node_3,18,703,38.081276382979475,34.25675675675676,12.282659401463032,-8.458139775240314,3.824519626222718,0.6330014224751067
node_3,19,634,2.803425433930777,1.9128548895899053,3.4014731910158353,-2.510902646674964,0.8905705443408715,0.6277602523659306
node_3,2,14,-0.6817549285837491,0.0,-0.685754928584564,0.004000000000814907,-0.6817549285837491,0.8571428571428571
node_3,20,587,0.8719575333501132,0.042163543441226574,1.5226394277150725,-0.6928454378061859,0.8297939899088866,0.6081771720613288
