schema,kind,split,signed_class,row_count,component_count,h_system_row_count,runtime_feature_cache_matched_count,runtime_dynamic_feature_complete_count,runtime_trace_mapped_feature_complete_count,selection_allowed,audit_status
czr005.g4irsf16.split_support.v1,I3,calibration,BENEFICIAL,3,3,1,3,3,3,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,calibration,HARMFUL,157,154,17,157,157,157,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,calibration,NEUTRAL,5,5,0,5,5,5,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,final_audit,BENEFICIAL,4,4,0,4,4,4,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I3,final_audit,HARMFUL,110,107,14,110,110,110,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I3,final_audit,NEUTRAL,3,3,0,3,3,3,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I3,train,BENEFICIAL,13,13,2,13,13,13,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,train,HARMFUL,623,604,72,623,623,623,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,train,NEUTRAL,18,18,0,18,18,18,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,validation,BENEFICIAL,3,3,1,3,3,3,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,validation,HARMFUL,143,138,21,143,143,143,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I3,validation,NEUTRAL,4,4,0,4,4,4,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,calibration,BENEFICIAL,3,3,1,3,3,3,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,calibration,HARMFUL,104,103,12,104,104,104,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,calibration,NEUTRAL,46,44,2,46,46,46,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,final_audit,BENEFICIAL,4,4,0,4,4,4,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I4,final_audit,HARMFUL,65,65,7,65,65,65,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I4,final_audit,NEUTRAL,22,22,3,22,22,22,False,SEALED_NOT_CONSUMED
czr005.g4irsf16.split_support.v1,I4,train,BENEFICIAL,14,13,2,14,14,14,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,train,HARMFUL,457,451,48,457,457,457,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,train,NEUTRAL,207,201,30,207,207,207,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,validation,BENEFICIAL,3,3,1,3,3,3,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,validation,HARMFUL,111,109,15,111,111,111,True,NOT_FINAL_AUDIT
czr005.g4irsf16.split_support.v1,I4,validation,NEUTRAL,50,50,7,50,50,50,True,NOT_FINAL_AUDIT
