risk_margin_threshold,risk_historical_threshold,risk_bottleneck_threshold,train_wrong_high_confidence,val_wrong_high_confidence,all_wrong_high_confidence,train_fallback_rate,val_fallback_rate,all_fallback_rate,all_planned,all_fallback_actions
0,0.95,99,809,240,1160,0.05189823,0.04946592,0.05130618,3359,2017
0,1.01,99,1252,361,1771,0,0,0,2851,0
0.05,0.95,99,807,239,1156,0.05207919,0.04959308,0.05148424,3360,2024
0.05,1.01,99,1250,360,1767,0.00021715,0.00012716,0.0002035,2852,8
0.1,0.95,99,804,237,1151,0.05218776,0.04984741,0.05161143,3365,2029
0.1,1.01,99,1247,358,1762,0.00032572,0.00038149,0.00033068,2857,13
0.2,0.95,99,746,221,1071,0.05457638,0.0525178,0.05402793,3417,2124
0.2,1.01,99,1189,342,1682,0.00275053,0.00305188,0.00277262,2909,109
0.4,0.95,99,729,212,1044,0.05580688,0.05391658,0.05527434,3441,2173
0.4,1.01,99,1172,333,1655,0.00398104,0.00445066,0.00401903,2933,158
0.6,0.95,99,426,133,622,0.0739025,0.06904883,0.07254598,3846,2852
0.6,1.01,99,868,254,1232,0.02211284,0.01958291,0.0213161,3338,838
0.8,0.95,99,425,129,615,0.07401107,0.06955748,0.07280035,3848,2862
0.8,1.01,99,737,221,1052,0.03108827,0.02428789,0.0291761,3411,1147
0.95,0.95,99,417,122,596,0.08284174,0.08138352,0.08218655,3862,3231
0.95,1.01,99,729,214,1033,0.04306757,0.03865717,0.04148755,3425,1631
1.2,0.95,99,413,120,589,0.08761898,0.08481689,0.0868415,3869,3414
1.2,1.01,99,594,188,867,0.06655568,0.06052899,0.06463511,3591,2541
1.5,0.95,99,389,109,549,0.09149144,0.08837742,0.09073335,3900,3567
1.5,1.01,99,543,156,779,0.07665303,0.07438962,0.07564928,3670,2974
2,0.95,99,310,96,451,0.11566719,0.11190234,0.1147712,3998,4512
2,1.01,99,331,100,477,0.11454526,0.11113937,0.11375372,3972,4472
3,0.95,99,41,8,50,0.15475372,0.15297558,0.15503777,4399,6095
3,1.01,99,47,10,59,0.15417466,0.15246694,0.15445273,4390,6072
4,0.95,99,6,1,7,0.1601824,0.15768057,0.16004884,4442,6292
4,1.01,99,6,1,7,0.1601824,0.15768057,0.16004884,4442,6292
5,0.95,99,0,0,0,0.17306648,0.1698881,0.17261466,4449,6786
5,1.01,99,0,0,0,0.17306648,0.1698881,0.17261466,4449,6786
6,0.95,99,0,0,0,0.25554631,0.25114446,0.25525907,4449,10035
6,1.01,99,0,0,0,0.25554631,0.25114446,0.25525907,4449,10035
