scenario,kind,offset,window_size,context,source,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,edge_overlap_diagnostic_only,elapsed_seconds,tasks_per_second,stable,notes
g4ir2_scale_512_offset0_no_fault,scale_ladder,0,512,no_fault,raw_inputdata_scale_ladder,512,512,0,0,3522,892,7924,0.0342693,14940.48616787,True,
g4ir2_scale_1024_offset0_no_fault,scale_ladder,0,1024,no_fault,raw_inputdata_scale_ladder,1024,1024,0,0,7028,1778,23997,0.0832967,12293.40415865,True,
g4ir2_scale_2048_offset0_no_fault,scale_ladder,0,2048,no_fault,raw_inputdata_scale_ladder,2048,2048,0,0,14616,3646,67905,0.2407311,8507.41760939,True,
g4ir2_scale_4096_offset0_no_fault,scale_ladder,0,4096,no_fault,raw_inputdata_scale_ladder,4096,4096,0,0,30251,7437,196451,0.7670837,5339.70413006,True,
g4ir2_scale_8192_offset0_no_fault,scale_ladder,0,8192,no_fault,raw_inputdata_scale_ladder,8192,8192,0,0,62765,15511,467262,2.8353766,2889.21055492,True,
g4ir2_scale_12000_offset0_no_fault,scale_ladder,0,12000,no_fault,raw_inputdata_scale_ladder,12000,12000,0,0,96732,23713,766929,6.3470647,1890.63773055,True,
g4ir2_scale_16000_offset0_no_fault,scale_ladder,0,16000,no_fault,raw_inputdata_scale_ladder,16000,16000,0,0,130500,31877,969859,11.5584614,1384.26728665,True,
g4ir2_scale_24000_offset0_no_fault,scale_ladder,0,24000,no_fault,raw_inputdata_scale_ladder,24000,24000,0,0,195776,47636,1338797,26.7699427,896.52788087,True,
g4ir2_scale_32000_offset0_no_fault,scale_ladder,0,32000,no_fault,raw_inputdata_scale_ladder,32000,32000,0,0,261058,63366,1687823,47.9654656,667.14665645,True,
