gate,java_runtime,cpp_runtime,java_rate,cpp_rate,cpp_java_speedup,performance_pass,summary_pass,parity_pass,parity_rows,gate_pass,performance_table,parity_table
astar_core,legacy_java_astar,cpp_pybind_astar,51130.178265,88744.796920,1.735664,True,True,True,8000,True,outputs/tables/java_python_cpp_astar_performance.csv,outputs/tables/java_python_cpp_astar_path_parity.csv
legacy_no_fault_window,legacy_java_ics_no_fault_window,cpp_pybind_legacy_no_fault_window,7.599125,369.784570,48.661467,True,True,True,63,True,outputs/tables/java_cpp_legacy_window_performance.csv,outputs/tables/java_cpp_legacy_window_route_parity.csv
legacy_scheduled_fault_window,legacy_java_ics_scheduled_fault_window,cpp_pybind_legacy_scheduled_fault_window,7.147149,353.013295,49.392184,True,True,True,63,True,outputs/tables/java_cpp_legacy_scheduled_fault_window_performance.csv,outputs/tables/java_cpp_legacy_scheduled_fault_window_route_parity.csv
legacy_probability_extreme_window,legacy_java_ics_probability_extreme_window,cpp_pybind_legacy_probability_extreme_window,6.471345,249.627337,38.574259,True,True,True,62,True,outputs/tables/java_cpp_legacy_probability_extreme_window_performance.csv,outputs/tables/java_cpp_legacy_probability_extreme_window_route_parity.csv
