dimension,bucket,original_count,generated_count,original_share,generated_share,abs_delta,claim_level
leg,direct,13409,107272,0.30752471,0.30752471,0,distribution_preserving_resample
leg,storage_in,15097,120776,0.34623764,0.34623764,0,distribution_preserving_resample
leg,storage_out,15097,120776,0.34623764,0.34623764,0,distribution_preserving_resample
