epoch,loss,top1
1,0.64729524,0.73288961
2,0.59332837,0.81172925
3,0.54693353,0.81172925
4,0.51287107,0.81172925
5,0.48823858,0.81172925
6,0.46898666,0.81172925
7,0.45540926,0.81172925
8,0.44455695,0.81172925
9,0.4337444,0.81172925
10,0.42507594,0.81172925
11,0.41529424,0.81172925
12,0.40675598,0.81172925
13,0.39675105,0.81172925
14,0.38836839,0.81172925
15,0.37869194,0.81172925
16,0.37039161,0.81172925
17,0.3614661,0.81172925
18,0.35333804,0.81182971
19,0.34451234,0.81567249
20,0.3365845,0.81901293
21,0.32859289,0.82001758
22,0.32153499,0.82041944
23,0.31384381,0.82375989
24,0.30745229,0.83054125
25,0.3005989,0.84184353
26,0.29403978,0.85113651
27,0.28835388,0.86434761
28,0.28246355,0.87273641
29,0.277322,0.87718197
30,0.27167406,0.88660053
31,0.26644012,0.89262841
32,0.2614446,0.89820419
33,0.2571646,0.90219766
34,0.25261217,0.90533718
35,0.24863471,0.90742183
36,0.24434373,0.91603667
37,0.2405444,0.91960316
38,0.23707556,0.92161246
39,0.23361094,0.92281803
40,0.23009097,0.92450082
41,0.22646251,0.92615848
42,0.22351967,0.92625895
43,0.22011975,0.92796685
44,0.21668628,0.92854452
45,0.21412304,0.92912219
46,0.21167882,0.92949893
47,0.20908434,0.92980033
48,0.20584235,0.9300766
49,0.20395536,0.93020219
50,0.20123577,0.9305287
51,0.19973009,0.93070451
52,0.19742469,0.93065428
53,0.1951926,0.93093055
54,0.19329156,0.9311566
55,0.19126632,0.93083009
56,0.18930934,0.93067939
57,0.18815366,0.9310059
58,0.186104,0.93077986
59,0.18472573,0.9311566
60,0.18305925,0.93135753
61,0.18115333,0.93188497
62,0.18016529,0.93218636
63,0.17918838,0.93268869
64,0.17791703,0.93309054
65,0.17638841,0.93344217
66,0.17513537,0.93356775
67,0.1741712,0.93386914
68,0.17301269,0.93407007
69,0.17232819,0.93447193
70,0.17090351,0.93494914
