epoch,loss,top1
1,0.30133162,0.83800244
2,0.25490170,0.87697929
3,0.15837724,0.94884287
4,0.11740641,0.95980512
5,0.10677727,0.96102314
6,0.10318681,0.95980512
7,0.09847446,0.96102314
8,0.09582544,0.96589525
9,0.09258567,0.96589525
10,0.09365893,0.97685749
11,0.08933234,0.97929354
12,0.08830320,0.97929354
13,0.08646804,0.97929354
14,0.08317588,0.97929354
15,0.08259686,0.97929354
16,0.08131256,0.97929354
17,0.07709446,0.97929354
18,0.07460326,0.97929354
19,0.08352014,0.97807552
20,0.07893092,0.97807552
21,0.07937915,0.97929354
22,0.08129646,0.97929354
23,0.07667646,0.97929354
24,0.07584326,0.97929354
25,0.07514586,0.97929354
26,0.07663598,0.97929354
27,0.07513918,0.97807552
28,0.07591779,0.97929354
29,0.07461817,0.97807552
30,0.07361291,0.97929354
31,0.07183065,0.97929354
32,0.07151137,0.97807552
33,0.07176191,0.97929354
34,0.06942362,0.97929354
35,0.06887552,0.97929354
36,0.06720623,0.97929354
37,0.06647555,0.97929354
38,0.06438071,0.97929354
39,0.06152775,0.97929354
40,0.06151559,0.97929354
41,0.05900185,0.97929354
42,0.05967190,0.97929354
43,0.05655866,0.97929354
44,0.05623594,0.97929354
45,0.05542342,0.97807552
46,0.05446887,0.98051157
47,0.05921751,0.97929354
48,0.05851670,0.98538368
49,0.05813730,0.98172960
50,0.05617257,0.98172960
51,0.05719578,0.98538368
52,0.05658475,0.98538368
53,0.05436174,0.98781973
54,0.05743320,0.98172960
55,0.05675283,0.98416565
56,0.05733055,0.98538368
57,0.05555965,0.98294762
58,0.05240522,0.98781973
59,0.05390329,0.98903776
60,0.05063409,0.98903776
61,0.05200372,0.98903776
62,0.05019296,0.98903776
63,0.05167912,0.98903776
64,0.05159050,0.98903776
65,0.05105986,0.98903776
66,0.04663463,0.98903776
67,0.05052152,0.98903776
68,0.04994323,0.98660171
69,0.04799831,0.98903776
70,0.04991366,0.98903776
71,0.04930560,0.98660171
72,0.05038118,0.98903776
73,0.04943253,0.98903776
74,0.04860893,0.98903776
75,0.04969026,0.98903776
76,0.04814344,0.98903776
77,0.04735337,0.98660171
78,0.04774185,0.98903776
79,0.04831915,0.98903776
80,0.05083807,0.98903776
81,0.05073862,0.98903776
82,0.05009529,0.98903776
83,0.04985684,0.98903776
84,0.05093544,0.98781973
85,0.04923898,0.98781973
86,0.04947709,0.98903776
87,0.05120011,0.98903776
88,0.05236788,0.98903776
89,0.04945795,0.98903776
90,0.05156392,0.98903776
91,0.04957404,0.98903776
92,0.05027882,0.98903776
93,0.05153908,0.98903776
94,0.05050559,0.98903776
95,0.04998370,0.98903776
96,0.04931920,0.98903776
97,0.04944955,0.98903776
98,0.05014058,0.98903776
99,0.04969017,0.98903776
100,0.04950174,0.98903776
101,0.04755773,0.98903776
102,0.05031585,0.98903776
103,0.04908684,0.98781973
104,0.04886620,0.98903776
105,0.04733812,0.98903776
106,0.04985310,0.98903776
107,0.04835978,0.98903776
108,0.04888843,0.98903776
109,0.04817765,0.98903776
110,0.04691206,0.98903776
111,0.04847426,0.98903776
112,0.04958812,0.98903776
