scenario,edge,case_count,mean_wait_needed_if_nonoccupying,max_wait_needed_if_nonoccupying,sipp_full_route_planned_cases,same_next_in_sipp_cases
legacy_offset32_static16,27->28,7,4.664007142855813,6.451100000000224,7,6
legacy_offset64_repair32,18->22,6,6.43089999999908,7.04055999999764,6,4
legacy_offset64_merge32,18->22,5,6.4652519999988725,7.04055999999764,5,4
legacy_first32,18->22,4,4.346947499998805,6.487970000000132,4,3
legacy_offset64_repair32,27->28,4,8.978445000001102,9.617850000002363,4,3
legacy_first32,27->28,2,5.187870000001567,9.621150000000853,2,2
legacy_offset64_merge32,27->28,1,1.9602299999987736,1.9602299999987736,1,0
