case,policy,edge_overlap_diagnostic_enabled,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,edge_overlap_diagnostic_only,counted_as_primary_conflict,notes
official_diag_on,model_plus_pibt_lite,True,12000,12000,0,0,766929,False,Diagnostic switch should not change routing behavior; only the counter changes.
official_diag_off,model_plus_pibt_lite,False,12000,12000,0,0,0,False,Diagnostic switch should not change routing behavior; only the counter changes.
model_only_diag_on,model_only_no_astar,True,12000,12000,0,0,804865,False,Diagnostic switch should not change routing behavior; only the counter changes.
pibt_lite_only_diag_on,pibt_lite_only,True,7761,12000,0,0,998750,False,Diagnostic switch should not change routing behavior; only the counter changes.
