input_label,source_file,source_subrun_id,schema,identity_status,identity_reasons,baseline_family,configuration,reproduction_or_adaptation_label,executor,language,release_protocol,coordination_protocol,map,load_factor,population_raw_bag_count,population_segment_count,completed_raw_bag_count,completed_raw_bag_count_reason,completed_segment_count,completed_segment_count_reason,wall_seconds,wall_seconds_reason,cpu_seconds,cpu_seconds_reason,peak_rss_bytes,peak_rss_bytes_reason,event_count,event_count_reason,decision_count,decision_count_reason,wall_seconds_per_completed_raw_bag,wall_seconds_per_completed_raw_bag_reason,cpu_seconds_per_completed_raw_bag,cpu_seconds_per_completed_raw_bag_reason,events_per_completed_raw_bag,events_per_completed_raw_bag_reason,decisions_per_completed_raw_bag,decisions_per_completed_raw_bag_reason,survivor_timing_used,survivor_timing_used_reason,cross_protocol_complexity_claim_permitted
hca_java,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\feng_native_hca_regression.json,run_01,czr005.cie_revision.feng_native_cie_dh_audit.v1,VERIFIED,PASS,FENG_NATIVE_HCA,FENG_NATIVE_HCA_REGRESSION,FROZEN_AGGREGATE_EXACT_REGRESSION_NOT_TRACE_EXACT,FENG_NATIVE_JAVA_HCA_SCHEDULER,JAVA,ORIGINAL_JAVA_TASK_RELEASE,CENTRALIZED_ASTAR_RESERVATION,map2,1,28506,43603,28506,MEASURED,43603,MEASURED,243.78774299984798,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,N/M,JAVA_HCA_EVENT_COUNT_NOT_INSTRUMENTED,N/M,JAVA_HCA_DECISION_COUNT_NOT_INSTRUMENTED,0.008552155440954464,DERIVED_WITHIN_RUN,N/M,NUMERATOR_NOT_MEASURED:SOURCE_EXPLICITLY_NOT_MEASURED,N/M,NUMERATOR_NOT_MEASURED:JAVA_HCA_EVENT_COUNT_NOT_INSTRUMENTED,N/M,NUMERATOR_NOT_MEASURED:JAVA_HCA_DECISION_COUNT_NOT_INSTRUMENTED,False,EXPLICIT_SOURCE_FIELD,False
g31_native,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_component_activation\map2_1.00x.json,N/M,czr005.cie_component_activation.run.v1,VERIFIED,PASS,G31_S4_NATIVE,H_SA,NATIVE_CURRENT_SYSTEM,COMMON_CPP_EVENT_EXECUTOR_G31_NATIVE,C++_PYTHON_BINDING,canonical_complete_flight_population,J2_M3_JIT_FAIR_AGING_DEADLINE,map2,1.0,28506,43603,28506,MEASURED,43603,MEASURED,23.300038799876347,MEASURED,22.625,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,3997648,MEASURED,336638,MEASURED,0.0008173731424919788,DERIVED_WITHIN_RUN,0.0007936925559531326,DERIVED_WITHIN_RUN,140.2388269136322,DERIVED_WITHIN_RUN,11.809373465235389,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
g31_native,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_component_activation\map2_2.00x.json,N/M,czr005.cie_component_activation.run.v1,VERIFIED,PASS,G31_S4_NATIVE,H_SA,NATIVE_CURRENT_SYSTEM,COMMON_CPP_EVENT_EXECUTOR_G31_NATIVE,C++_PYTHON_BINDING,canonical_complete_flight_population,J2_M3_JIT_FAIR_AGING_DEADLINE,map2,2.0,57012,87206,57012,MEASURED,87206,MEASURED,53.29495600005612,MEASURED,52.078125,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,8276538,MEASURED,672387,MEASURED,0.0009348024275600946,DERIVED_WITHIN_RUN,0.0009134590086297622,DERIVED_WITHIN_RUN,145.17185855609344,DERIVED_WITHIN_RUN,11.793780256788045,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
g31_native,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_component_activation\nanning_1.00x.json,N/M,czr005.cie_component_activation.run.v1,VERIFIED,PASS,G31_S4_NATIVE,H_SA,NATIVE_CURRENT_SYSTEM,COMMON_CPP_EVENT_EXECUTOR_G31_NATIVE,C++_PYTHON_BINDING,canonical_complete_flight_population,J2_M3_JIT_FAIR_AGING_DEADLINE,nanning,1.0,28506,43603,28506,MEASURED,43603,MEASURED,47.720467100152746,MEASURED,46.484375,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,7087605,MEASURED,588936,MEASURED,0.0016740499228286236,DERIVED_WITHIN_RUN,0.0016306873991440399,DERIVED_WITHIN_RUN,248.63555041043992,DERIVED_WITHIN_RUN,20.66007156388129,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
g31_native,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_component_activation\nanning_2.00x.json,N/M,czr005.cie_component_activation.run.v1,VERIFIED,PASS,G31_S4_NATIVE,H_SA,NATIVE_CURRENT_SYSTEM,COMMON_CPP_EVENT_EXECUTOR_G31_NATIVE,C++_PYTHON_BINDING,canonical_complete_flight_population,J2_M3_JIT_FAIR_AGING_DEADLINE,nanning,2.0,57012,87206,57012,MEASURED,87206,MEASURED,737.0040921000764,MEASURED,716.375,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,15449370,MEASURED,1184109,MEASURED,0.012927174842139837,DERIVED_WITHIN_RUN,0.012565337122009402,DERIVED_WITHIN_RUN,270.98452957272156,DERIVED_WITHIN_RUN,20.769469585350453,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\FREE_FLOW\map2_1x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_FREE_FLOW,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,same_hca,neutral_fifo,map2,1,28506,43603,28506,MEASURED,43603,MEASURED,20.32325919996947,MEASURED,19.75,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,3849779,MEASURED,334952,MEASURED,0.0007129467199877034,DERIVED_WITHIN_RUN,0.0006928365958043921,DERIVED_WITHIN_RUN,135.05153301059426,DERIVED_WITHIN_RUN,11.750228022170772,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\FREE_FLOW\map2_2x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_FREE_FLOW,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,canonical,neutral_fifo,map2,2,57012,87206,57012,MEASURED,87206,MEASURED,51.00188390002586,MEASURED,49.625,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,8232284,MEASURED,673416,MEASURED,0.000894581560022905,DERIVED_WITHIN_RUN,0.0008704307865010875,DERIVED_WITHIN_RUN,144.3956360064548,DERIVED_WITHIN_RUN,11.811829088612924,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\FREE_FLOW\nanning_1x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_FREE_FLOW,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,same_hca,neutral_fifo,nanning,1,28506,43603,28506,MEASURED,43603,MEASURED,43.098197099985555,MEASURED,41.96875,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,6832927,MEASURED,607288,MEASURED,0.0015118991475473779,DERIVED_WITHIN_RUN,0.001472277766084333,DERIVED_WITHIN_RUN,239.70136111695783,DERIVED_WITHIN_RUN,21.303865852802918,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\FREE_FLOW\nanning_2x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_FREE_FLOW,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,canonical,neutral_fifo,nanning,2,57012,87206,49158,MEASURED,79352,MEASURED,1834.7636458999477,MEASURED,1777.828125,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,17685267,MEASURED,1337061,MEASURED,0.03732380580780235,DERIVED_WITHIN_RUN,0.03616559105333821,DERIVED_WITHIN_RUN,359.76376174783354,DERIVED_WITHIN_RUN,27.19925546197974,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\SERVICE_AWARE\map2_1x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_SERVICE_AWARE,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,same_hca,neutral_fifo,map2,1,28506,43603,28506,MEASURED,43603,MEASURED,20.252293600002304,MEASURED,19.75,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,3829878,MEASURED,333216,MEASURED,0.0007104572230408442,DERIVED_WITHIN_RUN,0.0006928365958043921,DERIVED_WITHIN_RUN,134.3533992843612,DERIVED_WITHIN_RUN,11.689328562407914,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
cie_dh_common_executor,C:\PROGRAMING\czr005\.cie_native_dh_worktree\outputs\runtime\cie_revision\potential_factorial\cie_dh\SERVICE_AWARE\map2_2x.json,N/M,czr005.cie_potential_factorial.single_cell.v1,VERIFIED,PASS,CIE_DH_2009_COMMON_EXECUTOR_ADAPTATION,CIE_DH_COMMON_EXECUTOR_SERVICE_AWARE,ADAPTED_NOT_EXACT_NOT_FENG_NATIVE,COMMON_CPP_EVENT_EXECUTOR,C++_PYTHON_BINDING,canonical,neutral_fifo,map2,2,57012,87206,57012,MEASURED,87206,MEASURED,49.97621240001172,MEASURED,48.71875,MEASURED,N/M,SOURCE_EXPLICITLY_NOT_MEASURED,8189748,MEASURED,669997,MEASURED,0.0008765911106435788,DERIVED_WITHIN_RUN,0.0008545350101732969,DERIVED_WITHIN_RUN,143.64954746369185,DERIVED_WITHIN_RUN,11.751859257700133,DERIVED_WITHIN_RUN,False,EXPLICIT_SOURCE_FIELD,False
