scenario,scenario_context,oracle_policy,segment_id,task_id,source_line,failure_motif,first_divergence_current,sipp_teacher_next,edge_score_terminal_reason,oracle_terminal_reason,teacher_finish_time,oracle_finish_time,oracle_decision_count,teacher_path,oracle_path,recovery_status,unrecoverable_reason
legacy_first32,no_fault,oracle2_sipp_rank,26:storage_in,26,28,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,11357.416359999997,,8,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle2_sipp_rank,27:storage_in,27,29,wrong_branch_vs_sipp,22,24,no_safe_action,no_safe_action,11346.616359999998,,4,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle2_sipp_rank,30:storage_in,30,32,wrong_branch_vs_sipp,19,25,no_safe_action,no_safe_action,11362.944479999998,,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,17:storage_in,17,19,hold_when_sipp_moves,7,8,no_safe_action,no_safe_action,10756.077819999999,,16,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,18:storage_in,18,20,wrong_branch_vs_sipp,6,12,no_safe_action,no_safe_action,10751.659529999999,,14,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,25:storage_in,25,27,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,11314.21636,,9,4 17 18 22 24 27 28 47,4 17 18 22 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,26:storage_in,26,28,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,11357.416359999997,,8,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,27:storage_in,27,29,wrong_branch_vs_sipp,22,24,no_safe_action,no_safe_action,11346.616359999998,,4,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k2,30:storage_in,30,32,wrong_branch_vs_sipp,19,25,no_safe_action,no_safe_action,11362.944479999998,,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,17:storage_in,17,19,hold_when_sipp_moves,7,8,no_safe_action,no_safe_action,10756.077819999999,,16,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,18:storage_in,18,20,wrong_branch_vs_sipp,6,12,no_safe_action,no_safe_action,10751.659529999999,,14,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,25:storage_in,25,27,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,11314.21636,,9,4 17 18 22 24 27 28 47,4 17 18 22 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,26:storage_in,26,28,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,11357.416359999997,,8,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,27:storage_in,27,29,wrong_branch_vs_sipp,22,24,no_safe_action,no_safe_action,11346.616359999998,,4,5 19 18 22 24 27 28 47,5 19 18,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k3,30:storage_in,30,32,wrong_branch_vs_sipp,19,25,no_safe_action,no_safe_action,11362.944479999998,,11,5 19 25 26 43 15 14 46 36 38 39 47,5 19 25 26 43 15 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k5,17:storage_in,17,19,hold_when_sipp_moves,7,8,no_safe_action,no_safe_action,10756.077819999999,,16,2 9 7 8 11 14 46 36 38 39 47,2 9 7 8 11 14 46,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k5,18:storage_in,18,20,wrong_branch_vs_sipp,6,12,no_safe_action,no_safe_action,10751.659529999999,,14,0 6 12 13 23 24 27 28 47,0 6 12 13 23 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k5,25:storage_in,25,27,no_safe_action_at_divergence,18,22,no_safe_action,no_safe_action,11314.21636,,9,4 17 18 22 24 27 28 47,4 17 18 22 24 27,unrecoverable,no_safe_action_or_mask_timing
legacy_first32,no_fault,oracle3_lookahead_k5,26:storage_in,26,28,hold_when_sipp_moves,4,17,no_safe_action,no_safe_action,11357.416359999997,,8,4 17 18 22 24 27 28 47,4 17 18,unrecoverable,no_safe_action_or_mask_timing
