window_id,task_count,python_planned,cpp_planned,python_node_conflicts,cpp_node_conflicts,python_full_astar_calls,cpp_full_astar_calls,python_model_decisions,cpp_model_decisions,python_pibt_lite_calls,cpp_pibt_lite_calls,planned_set_match,finish_time_mean_diff,finish_time_max_abs_diff,route_signature_match_rate,parity_pass
g4d_first1024_no_fault,1024,1024,1024,0,0,0,0,8139,8139,1479,1479,True,0,0,1,True
g4d_first144_no_fault,144,144,144,0,0,0,0,1138,1138,213,213,True,0,0,1,True
g4d_first256_no_fault,256,256,256,0,0,0,0,2012,2012,371,371,True,0,0,1,True
g4d_first512_no_fault,512,512,512,0,0,0,0,3967,3967,714,714,True,0,0,1,True
g4d_offset2048_1024_high_density,977,977,977,0,0,0,0,7947,7947,1796,1796,True,0,0,1,True
g4d_offset512_512_high_density,512,512,512,0,0,0,0,4172,4172,765,765,True,0,0,1,True
g4d_offset64_repair512,512,512,512,0,0,0,0,3968,3968,713,713,True,0,0,1,True
g4d_offset64_static512,512,512,512,0,0,0,0,3892,3892,561,561,True,0,0,1,True
