flow_scope,task_stream_generation_level,topology_changed,source_manifest,edge_start,edge_end,move_count,edge_overlap_diagnostic_only_sum,mean_overlap_per_move,counted_as_primary_conflict
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,27,28,5264,50486,9.59080547,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,46,36,2912,39233,13.47287088,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,36,38,2912,33745,11.58825549,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,38,39,2720,20420,7.50735294,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,20,21,1669,19204,11.50629119,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,28,47,5200,15302,2.94269231,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,18,22,2043,14898,7.29221733,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,11,13,1428,13738,9.62044818,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,16,21,804,13487,16.77487562,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,53,20,1720,12411,7.21569767,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,19,25,993,11199,11.27794562,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,21,23,2473,9404,3.80266882,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,22,26,1552,8702,5.60695876,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,39,47,2656,7708,2.90210843,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,43,15,2545,7483,2.94027505,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,37,49,256,7015,27.40234375,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,13,23,2316,6771,2.92357513,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,4,17,1280,6528,5.1,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,5,19,1272,5878,4.62106918,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,3,16,1288,5846,4.53881988,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,6,12,888,5508,6.2027027,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,24,27,5280,5238,0.99204545,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,23,24,4789,4749,0.99164753,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8,11,1431,4076,2.84835779,False
g4irsf2_edge_pressure_8192,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,22,24,491,3541,7.21181263,False
