scenario,kind,offset,window_size,context,source,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,edge_overlap_diagnostic_only,elapsed_seconds,tasks_per_second,stable,notes
g4ir2_distribution_offset0_4096,distribution_shift,0,4096,distribution_shift,raw_inputdata_distribution_shift,4096,4096,0,0,30251,7437,196451,0.7646468,5356.72156084,True,
g4ir2_distribution_offset8192_4096,distribution_shift,8192,4096,distribution_shift,raw_inputdata_distribution_shift,4096,4096,0,0,34940,8643,166011,0.9639785,4249.05742146,True,
g4ir2_distribution_offset16384_4096,distribution_shift,16384,4096,distribution_shift,raw_inputdata_distribution_shift,4096,4096,0,0,33490,8131,151872,0.94499,4334.4374015,True,
g4ir2_distribution_offset24576_4096,distribution_shift,24576,4096,distribution_shift,raw_inputdata_distribution_shift,4096,4096,0,0,32742,7885,135267,0.8953808,4574.58994039,True,
g4ir2_distribution_offset32000_4096,distribution_shift,32000,4096,distribution_shift,raw_inputdata_distribution_shift,4096,4096,0,0,31665,7951,128593,0.8374645,4890.95358677,True,
