run,raw_bags,segments,min,mean,p95,p99,max,mean_relative_error,max_relative_error,protocol
historical_workbook,28506,43603,213.3,265.5921314811003,336.9,384.5950000000001,517.2,0,0,historical_observation
boundary_clearance_v5,28506,43603,206.4,288.8264716200128,620.0,753.2,819.0,0.08748128195419014,0.5835266821345706,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_boundary_clearance_preregistration_20260905.md
next_tick_service_v4,28506,43603,206.4,238.72304076334956,285.2,302.4,342.2,-0.10116674228228317,-0.33836040216550667,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_next_tick_service_preregistration_20260905.md
outlet_gate_v3,28506,43603,206.4,238.3722795201017,284.4,303.2,389.6,-0.1024874186189344,-0.24671307037896373,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_outlet_gate_protocol_20260905.md
outlet_gate_v3_snapshot,28506,43603,206.4,238.3722795201017,284.4,303.2,389.6,-0.1024874186189344,-0.24671307037896373,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_outlet_gate_protocol_20260905.md
overlap_id_order,28506,43603,206.4,238.70536729109665,284.2,300.8,331.0,-0.10123328594136805,-0.360015467904099,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_id_order_probe_preregistration_20260905.md
post_movement_scoring_v6,28506,43603,206.4,238.74931593348828,285.6,301.0,326.2,-0.10106781175300805,-0.3692962103634958,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_post_movement_scoring_preregistration_20260905.md
repaired_control,28506,43603,206.4,238.70228723777402,285.2,300.8,326.0,-0.10124488287123734,-0.3696829079659707,initial_map2_protocol
retained_boundary_v2,28506,43603,206.4,1065.7304216656105,4497.7,6693.98000000001,9180.2,3.012658114991816,16.749806651198764,initial_map2_protocol
retained_boundary_v2_id_order,28506,43603,206.0,1751.1602189012822,5493.8,7588.280000000002,10611.6,5.593419048733738,19.517401392111367,C:\PROGRAMING\czr005\.feng_cie_dh_worktree\docs\baselines\feng_dh_id_order_probe_preregistration_20260905.md
