candidate,candidate_type,trained_in_g4ir2,planned_count,node_window_conflicts,mean_latency_seconds,recommendation
model_only_no_astar,diagnostic_model_only,False,4449,0,0.3698348,candidate for future training/evaluation
pibt_lite_only,diagnostic_rule_only,False,582,0,2.30431207,candidate for future training/evaluation
model_plus_pibt_lite,candidate,False,4449,0,0.40326267,current frozen policy
model_plus_static_distance_fallback,candidate,False,4449,0,0.40293273,candidate for future training/evaluation
model_plus_node_window_greedy,candidate,False,4449,0,0.3989585,candidate for future training/evaluation
model_plus_k_step_local_window,candidate,False,4449,0,0.50704853,candidate for future training/evaluation
model_plus_pibt_lite_risk_abstain_off,risk_gate_ablation,False,4449,0,0.3657255,candidate for future training/evaluation
model_plus_pibt_lite_no_historical_risk,risk_gate_ablation,False,4449,0,0.39585957,candidate for future training/evaluation
model_plus_pibt_lite_no_bottleneck_risk,risk_gate_ablation,False,4449,0,0.40281207,candidate for future training/evaluation
model_plus_pibt_lite_margin_only,risk_gate_ablation,False,4449,0,0.36884347,candidate for future training/evaluation
