case,max_tasks,interval_seconds,merge_group_count,merge_headway_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_decisions,cpp_decisions,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_holds,cpp_holds,python_conflicts,cpp_conflicts,python_event_count,cpp_event_count,mean_travel_abs_diff,parity_pass,first_mismatch_status,first_mismatch_index,first_mismatch_field,python_value,cpp_value
line_two_active_bags,2,2.0,0,0.0,2,2,0,0,4,4,4,4,1,1,0,0,0,0,8,8,0.0,True,match,,none,,
branch_static_fault_alternative,1,2.0,0,0.0,1,1,0,0,2,2,2,2,1,1,0,0,0,0,4,4,0.0,True,match,,none,,
branch_repaired_preferred_edge,1,2.0,0,0.0,1,1,0,0,2,2,2,2,1,1,0,0,0,0,4,4,0.0,True,match,,none,,
handoff_active_bag_slice,2,2.0,0,0.0,2,2,0,0,3,3,2,2,2,2,0,0,0,0,7,7,0.0,True,match,,none,,
parallel_merge_group_capacity,2,2.0,2,0.0,2,2,0,0,5,5,3,3,2,2,1,1,0,0,9,9,0.0,True,match,,none,,
synthetic_seed7_medium_repair_pibt_active,6,5.0,0,0.0,6,6,0,0,18,18,8,8,4,4,0,0,0,0,30,30,0.0,True,match,,none,,
synthetic_seed11_dense_multi_repair_pibt_active,6,5.0,0,0.0,6,6,0,0,21,21,10,10,4,4,1,1,0,0,33,33,0.0,True,match,,none,,
