scenario,kind,offset,window_size,context,source,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,edge_overlap_diagnostic_only,elapsed_seconds,tasks_per_second,stable,notes,fault_edges,fault_windows
g4ir2_fault_static_fault_16_17,fault_repair_stress,0,4096,static_fault,raw_inputdata_fault_repair_stress,4096,4096,0,0,29927,6818,193899,0.7847918,5219.21865163,True,,"[[16, 17]]",[]
g4ir2_fault_static_fault_18_22,fault_repair_stress,0,4096,static_fault,raw_inputdata_fault_repair_stress,3134,4096,0,0,25768,6354,176441,0.5287518,7746.54573178,False,,"[[18, 22]]",[]
g4ir2_fault_repair_28_47_until_12000,fault_repair_stress,0,4096,repair_window,raw_inputdata_fault_repair_stress,4096,4096,0,0,31413,7647,197860,0.8379832,4887.92615494,True,,[],"[[28, 47, 0.0, 12000.0]]"
g4ir2_fault_repair_18_22_until_9000,fault_repair_stress,0,4096,repair_window,raw_inputdata_fault_repair_stress,4092,4096,0,0,30235,7433,196445,0.7880712,5197.4999212,False,,[],"[[18, 22, 8200.0, 9000.0]]"
g4ir2_fault_multi_repair_16_17_28_47,fault_repair_stress,0,4096,repair_window,raw_inputdata_fault_repair_stress,4096,4096,0,0,31411,7643,197850,0.8445106,4850.14634528,True,,[],"[[16, 17, 8200.0, 9200.0], [28, 47, 8200.0, 12000.0]]"
