variant,actual_runtime,transform,artifact,status,policy,reservation_semantics,complete_bags,processed_segment_count,planned_segments,failed_segments,mean_tht,min_tht,max_tht,delta_vs_g6_official_min,gap_vs_original_min,source_retry_count,source_wait_seconds,wait_seconds,fallback_calls,loop_count,node_window_conflicts,runtime_full_astar_calls,promotion_status,note
current_noastar_release,True,none,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,3.13333333,7.79666907,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted,none
java_epoch_release_exact,True,pass_time=floor(pass_time),C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_epoch_release_exact.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97867354,3.13333333,7.79666907,0.00256365,0.01155083,15585,0.98388899,688175.28215039,87051,91,0,0,not_promoted,pass_time=floor(pass_time)
java_stable_sort_release,False,none,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,3.13333333,7.79666907,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted_noop_or_blocked,none
java_source_queue_one_per_epoch,True,"per source, release at max(floor(pass_time), previous_source_release+1)",C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_one_per_epoch.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.55659385,3.13333333,4.72000018,-0.41951604,-0.41052886,0,0,103929.26183284,83320,0,0,0,candidate_noninferior_strict,"per source, release at max(floor(pass_time), previous_source_release+1)"
java_source_queue_multi_release_if_pass_time_ready,True,pass_time=floor(pass_time),C:\PROGRAMING\czr005\artifacts\tasks\g4irsf7\java_source_queue_multi_release_if_pass_time_ready.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97867354,3.13333333,7.79666907,0.00256365,0.01155083,15585,0.98388899,688175.28215039,87051,91,0,0,not_promoted,pass_time=floor(pass_time)
java_source_service_time_zero_at_entry,False,none,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,3.13333333,7.79666907,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted_noop_or_blocked,none
java_unfinished_retry_semantics,False,none,C:\PROGRAMING\czr005\data\processed\tasks\inputdata.jsonl,PASS,model_plus_pibt_lite,baseline,28506,43603,43603,0,3.97610989,3.13333333,7.79666907,0,0.00898718,14895,0.98307199,684559.51360441,87051,93,0,0,not_promoted_noop_or_blocked,none
