generation_id,input_identity_sha256,stage,status,reason_ordinal,primary_reason,failure_count,denominator_count,rate,measurement_status,taxonomy_static_inventory_complete,taxonomy_runtime_complete,row_sha256
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,1,OWNER_NOT_IN_READY_SLICE,0,0,,NOT_RUN,true,false,8b0b0638b75443ba942b58f571d56dfd9d8d49ad3701e7d4511bdd2447a3c668
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,2,OWNER_IN_TRANSIT_IMMOVABLE,0,0,,NOT_RUN,true,false,7936a5d111e0cb97b03c97b495a0463e6490e0970210c0bf25de6ddae8de5356
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,3,NO_ALTERNATIVE_EDGE,0,0,,NOT_RUN,true,false,5b5d4ecf096dac9222efaf5c1e336700ae6275360b324fbf799c59ee7977027c
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,4,ALTERNATIVE_NOT_SHIELD_SAFE,0,0,,NOT_RUN,true,false,2722d60583b82197d16a36e5b8f5a1e66213530468f252a31093c324db5c520e
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,5,DESTINATION_SLOT_UNAVAILABLE,0,0,,NOT_RUN,true,false,276d51851e112f600b45f816a05774ae49c074b60c0ac992ed876338a1cda990
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,6,QUEUE_CAPACITY_BLOCK,0,0,,NOT_RUN,true,false,864dc6826a04c6668f919c4be1fb94eed412940c72d6e0f7df2d9872633b2f3a
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,7,CREDIT_OR_GRANT_MISSING,0,0,,NOT_RUN,true,false,156f0bcf57cf2127fd83a1ab9d802a6d23ff501361962a71422eb637959c13e2
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,8,CREDIT_OR_GRANT_STALE,0,0,,NOT_RUN,true,false,9c08f45786fb96a933297e8c678dd0e323057331e21c44604513a3ad3227f800
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,9,FAULT_GENERATION_CHANGED,0,0,,NOT_RUN,true,false,bd6c4523b02b20a28f1a06de1197853f5f13f0839ce48a006744d508fca32fed
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,G,TAXONOMY_MEASUREMENT_NOT_RUN_ZERO_APPLICABLE_SUPPORT,10,LOCAL_RESOURCE_CONFLICT,0,0,,NOT_RUN,true,false,c2728ac8dcb363c9555e40c2b276dc716a2e23af86e2a75cb2f0f5ba6bea59bb
