source_file,schema,case_id,map,scale,speed_mps,release,coordination,arm,arm_label,family,variant,s4_ablation,status,binary_sha256,raw_bag_population,segment_population,completed_segment_count,failed_segment_count,wall_seconds,cpu_seconds,event_count,decision_count,event_limit_reached,time_limit_reached,loop_count,reservation_conflicts,runtime_full_astar_calls,scorer_runtime_global_scan_count
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,29.67223529983312,29.203125,3950032,333457,False,False,0,0,0,421826
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,24.461798700038344,23.875,3829807,333215,False,False,0,0,0,357562
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\map2_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_2x_speed_2p5,map2,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,57012,87206,87206,0,69.54005749989301,67.59375,8192718,670052,False,False,0,0,0,1013787
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,76.36069540004246,73.671875,6963948,572956,False,False,0,0,0,994364
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\same_hca\nanning_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_1x_speed_2p5,nanning,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,45.28988149994984,43.890625,6255494,551084,False,False,0,0,0,663546
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\feng_dh\canonical\nanning_2x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_nanning_2x_speed_2p5,nanning,2,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,feng_dh,FENG_DH_REIMPLEMENTATION_COEFFICIENTS_UNDISCLOSED_NOT_EXACT,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,57012,87206,79173,8033,1739.2405429999344,1695.4375,17028882,1260480,False,True,0,0,0,3290751
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\map2_1x.json,czr005.g4irsf31.map2_final_policy_case.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,,"{""event_hotpath_policy"":""E2"",""merge_grant_rule"":""M3"",""merge_grant_timing_mode"":""jit_fair_aging_deadline"",""queue_discipline"":""fifo""}",g31,,,,,COMPLETE_G31_MAP2_FIXED_HORIZON_CAPACITY_EVIDENCE,,28506,43603,,,25.045419899979606,24.390625,3997648,336638,False,False,,,,
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\literature\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,G31_BASE_COORDINATION_UNCHANGED,g31,G31_S4,,,,COMPLETE,d08504ea570511048a112626b7c6b510b8e6808eac242af748520d41383fee04,28506,43603,43603,0,28.9125288000796,28.296875,3997648,336638,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,884f36f0ceebdb0fd56924fd00fe5c8a1ebef56eb05fac4f53d66306de647155,28506,43603,43603,0,27.180875800084323,26.796875,3997434,336637,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\cie_baselines\p1_neutral_fifo_final\g31\canonical\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,canonical,neutral_fifo,g31,G31_S4,,,none,COMPLETE,17d73f94863e1de71e3ba8f1b41d01c25c3173614ae3edfbb071119265ceb279,28506,43603,43603,0,25.27659000013955,24.84375,3997434,336637,False,False,0,0,0,0
C:\PROGRAMING\czr005\.g4irsf35_worktree\outputs\runtime\g4irsf35_full_population\g31\same_hca\map2_1x.json,czr005.g4irsf35.full_population_single_arm.v1,t5_2_map2_1x_speed_2p5,map2,1,2.5,same_hca,G31_BASE_COORDINATION_UNCHANGED,g31,,,,,COMPLETE,639a6af52c3fe707ae929f148b485694c4a3577140e96cf06c41a338b09b9a31,28506,43603,43603,0,24.53465920011513,24.140625,3878847,336711,False,False,0,0,0,0
