case_id,category,workload_mode,scale,execution_status,protocol_manifest_sha256,map_sha256,workload_segment_count,raw_bag_count,junction_count,peak_active_bag_count,runtime_thread_count,peak_working_set_bytes,cpp_internal_accounted_bytes,peak_junction_local_state_accounted_bytes,sum_final_junction_local_state_accounted_bytes,max_junction_service_utilization,bottleneck_node,bottleneck_score,decision_latency_us_p50,decision_latency_us_p95,decision_latency_us_p99,event_throughput_per_second,wall_seconds,blocker
real_map_size_144,size_ladder,time_compressed,1.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,144,144,52,2,1,27877376,106384,228,11480,0.0011434383048013618,52,3.000000641025631,2.6,3.8999999999999995,5.398000000000025,1251718.0355554756,0.021150200002011843,
real_map_size_512,size_ladder,time_compressed,1.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,512,510,52,8,1,30674944,312032,264,11720,1.0,44,6.001838841104964,1.8,2.5,3.2,1725345.4129098805,0.04004189999977825,
real_map_size_1024,size_ladder,time_compressed,1.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,1024,1016,53,42,1,34557952,525080,344,12352,0.00873838128953301,44,26.00338240894996,2.0,3.4,4.2,1336631.9404858625,0.0979806000032113,
real_map_paper_full,size_ladder,time_compressed,1.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,43603,28506,53,38042,1,349507584,24935128,72316,139152,0.16168487256856295,46,18019.161421143734,4.4,14.6,25.0,32254.937899611734,208.80694559999392,
frontier_synchronized_replica_worst_case_2p0x,capacity_frontier,synchronized_replica_worst_case,2.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,87206,57012,53,80667,1,688300032,43252164,127852,308828,0.3472313967570974,46,31903.266351033973,5.4,18.4,29.800000000000004,13927.345481634715,769.836593699998,
frontier_synchronized_replica_worst_case_2p25x,capacity_frontier,synchronized_replica_worst_case,2.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,98100,64172,53,91333,1,769777664,56125692,137080,351980,0.3961968995601845,46,34210.28090710669,6.1,20.1,36.2,10256.177091918948,1123.0517144999976,
frontier_synchronized_replica_worst_case_2p5x,capacity_frontier,synchronized_replica_worst_case,2.5,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,108916,71207,53,102053,1,850612224,59023504,146532,394368,0.44338904953142966,46,36573.29581193624,5.7,17.9,26.4,9039.91917677935,1361.9188899,
frontier_synchronized_replica_worst_case_2p75x,capacity_frontier,synchronized_replica_worst_case,2.75,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,119799,78358,53,112881,1,932003840,61939548,152448,437300,0.4927409273856689,46,38052.30398567027,6.2,18.6,26.300000000000004,7756.485635797765,1685.280810999997,
frontier_synchronized_replica_worst_case_3p0x,capacity_frontier,synchronized_replica_worst_case,3.0,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,130809,85518,53,123740,1,1013788672,64889552,157268,480664,0.540620444121825,46,39257.31159875055,6.4,18.5,25.700000000000003,6463.1259328105825,2137.857656400003,
frontier_synchronized_replica_worst_case_3p25x,capacity_frontier,synchronized_replica_worst_case,3.25,EXECUTED,54c0bbe092ebf37fc705ef1cf4415a29ee4ba3e8c107730ed70d41601b08b440,67266b1746f64ae40b4b1b52a8a74eedc6338c90b646708db2dc29e93c514c63,141703,92678,53,134499,1,1098633216,82739752,162284,523440,0.5881110352796195,46,40511.3195141064,6.7,18.7,26.3,6029.197118809447,2413.3188731000046,
