blend,opportunity_count,teacher_action_agreement,teacher_nonhomomorphic_mutation_recall,teacher_nonhomomorphic_mutation_precision,offline_distinct_action_mutation_count,mean_utility_gain_vs_baseline,sum_utility_gain_vs_baseline,counterfactual_benefit_count,counterfactual_harm_count,counterfactual_neutral_count,mean_utility_delta_vs_teacher,teacher_harm_reduced_count
0.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
10.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
20.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
30.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
40.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
50.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
60.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
70.0,27,1.0,1.0,1.0,26,-0.021699375925927158,-0.5858831500000332,0,26,1,0.0,0
80.0,27,0.9629629629629629,0.9615384615384616,1.0,25,-0.019577771759260364,-0.5285998375000298,0,25,2,0.002121604166666793,1
90.0,27,0.9629629629629629,0.9615384615384616,1.0,25,-0.019577771759260364,-0.5285998375000298,0,25,2,0.002121604166666793,1
100.0,27,0.9629629629629629,0.9615384615384616,1.0,25,-0.019577771759260364,-0.5285998375000298,0,25,2,0.002121604166666793,1
110.0,27,0.9629629629629629,0.9615384615384616,1.0,25,-0.019577771759260364,-0.5285998375000298,0,25,2,0.002121604166666793,1
120.0,27,0.9629629629629629,0.9615384615384616,1.0,25,-0.019577771759260364,-0.5285998375000298,0,25,2,0.002121604166666793,1
130.0,27,0.9259259259259259,0.9230769230769231,0.96,25,-0.019137736882717207,-0.5167188958333646,0,25,2,0.0025616390432099483,2
140.0,27,0.8888888888888888,0.8846153846153846,0.9583333333333334,24,-0.01850152484568012,-0.49954117083336325,0,24,3,0.003197851080247036,3
150.0,27,0.8518518518518519,0.8461538461538461,0.9565217391304348,23,-0.017298899845679987,-0.4670702958333597,0,23,4,0.004400476080247168,4
160.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
170.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
180.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
190.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
200.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
210.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
220.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
230.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
240.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
250.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
260.0,27,0.8148148148148148,0.8076923076923077,0.9545454545454546,22,-0.015130674845679978,-0.4085282208333594,0,22,5,0.006568701080247179,5
270.0,27,0.7777777777777778,0.7692307692307693,0.9523809523809523,21,-0.014158335030864935,-0.38227504583335326,0,21,6,0.007541040895062221,6
280.0,27,0.7777777777777778,0.7692307692307693,0.9523809523809523,21,-0.014158335030864935,-0.38227504583335326,0,21,6,0.007541040895062221,6
290.0,27,0.7407407407407407,0.7307692307692307,0.95,20,-0.013263963734568666,-0.358127020833354,0,20,7,0.00843541219135849,7
300.0,27,0.7407407407407407,0.7307692307692307,0.95,20,-0.013263963734568666,-0.358127020833354,0,20,7,0.00843541219135849,7
