dimension,bucket,original_count,generated_count,original_share,generated_share,abs_delta,claim_level
start_goal,"[0, 47]",1519,12152,0.03483705,0.03483705,0,distribution_preserving_resample
start_goal,"[0, 49]",315,2520,0.00722427,0.00722427,0,distribution_preserving_resample
start_goal,"[0, 50]",1366,10928,0.03132812,0.03132812,0,distribution_preserving_resample
start_goal,"[1, 47]",1497,11976,0.0343325,0.0343325,0,distribution_preserving_resample
start_goal,"[1, 49]",331,2648,0.00759122,0.00759122,0,distribution_preserving_resample
start_goal,"[1, 50]",1365,10920,0.03130519,0.03130519,0,distribution_preserving_resample
start_goal,"[2, 47]",1464,11712,0.03357567,0.03357567,0,distribution_preserving_resample
start_goal,"[2, 49]",333,2664,0.00763709,0.00763709,0,distribution_preserving_resample
start_goal,"[2, 50]",1402,11216,0.03215375,0.03215375,0,distribution_preserving_resample
start_goal,"[3, 47]",2332,18656,0.05348256,0.05348256,0,distribution_preserving_resample
start_goal,"[3, 48]",894,7152,0.02050318,0.02050318,0,distribution_preserving_resample
start_goal,"[3, 49]",1661,13288,0.03809371,0.03809371,0,distribution_preserving_resample
start_goal,"[4, 47]",2234,17872,0.05123501,0.05123501,0,distribution_preserving_resample
start_goal,"[4, 48]",917,7336,0.02103066,0.02103066,0,distribution_preserving_resample
start_goal,"[4, 49]",1736,13888,0.03981377,0.03981377,0,distribution_preserving_resample
start_goal,"[5, 47]",2274,18192,0.05215237,0.05215237,0,distribution_preserving_resample
start_goal,"[5, 48]",898,7184,0.02059491,0.02059491,0,distribution_preserving_resample
start_goal,"[5, 49]",1714,13712,0.03930922,0.03930922,0,distribution_preserving_resample
start_goal,"[52, 48]",3490,27920,0.08004036,0.08004036,0,distribution_preserving_resample
start_goal,"[52, 49]",6996,55968,0.16044768,0.16044768,0,distribution_preserving_resample
start_goal,"[52, 50]",4611,36888,0.1057496,0.1057496,0,distribution_preserving_resample
start_goal,"[53, 47]",3777,30216,0.08662248,0.08662248,0,distribution_preserving_resample
start_goal,"[53, 48]",107,856,0.00245396,0.00245396,0,distribution_preserving_resample
start_goal,"[53, 49]",215,1720,0.00493085,0.00493085,0,distribution_preserving_resample
start_goal,"[53, 50]",155,1240,0.0035548,0.0035548,0,distribution_preserving_resample
