policy,window_name,window_size,teacher_planned,planned,node_window_conflicts,runtime_interface_decisions,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_astar_emergency_calls,full_cie_astar_fallback_calls,zero_full_astar_task_count,route_exact_count,deviated_but_success_count,failed_count,mean_transport_time,mean_wait_seconds,nonprogress_steps,loop_count,window_stable
cie_retry_teacher_offline_reference,g4d_first1024_no_fault,1024,1024,1024,0,,0,0,0,0,1519,0,1024,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_first144_no_fault,144,144,144,0,,0,0,0,0,196,0,144,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_first256_no_fault,256,256,256,0,,0,0,0,0,334,0,256,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_first512_no_fault,512,512,512,0,,0,0,0,0,654,0,512,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_offset2048_1024_high_density,1024,977,977,0,,0,0,0,0,10970,0,977,0,47,,,,,True
cie_retry_teacher_offline_reference,g4d_offset512_512_high_density,512,512,512,0,,0,0,0,0,852,0,512,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_offset64_repair512,512,512,512,0,,0,0,0,0,706,0,512,0,0,,,,,True
cie_retry_teacher_offline_reference,g4d_offset64_static512,512,512,512,0,,0,0,0,0,621,0,512,0,0,,,,,True
model_only_no_astar,g4d_first1024_no_fault,1024,1024,1024,0,7970,7970,7970,0,0,0,1024,678,346,0,56.03116577,1.48233764,539,0,True
model_only_no_astar,g4d_first144_no_fault,144,144,144,0,1110,1110,1110,0,0,0,144,98,46,0,49.05867572,0.42812017,49,0,True
model_only_no_astar,g4d_first256_no_fault,256,256,256,0,1968,1968,1968,0,0,0,256,182,74,0,49.06299389,0.57705639,86,0,True
model_only_no_astar,g4d_first512_no_fault,512,512,512,0,3890,3890,3890,0,0,0,512,374,138,0,48.88957162,0.61300913,178,0,True
model_only_no_astar,g4d_offset2048_1024_high_density,1024,977,977,0,7675,7675,7675,0,0,0,977,454,523,0,125.93256459,1.48138752,623,0,True
model_only_no_astar,g4d_offset512_512_high_density,512,512,512,0,4080,4080,4080,0,0,0,512,305,207,0,62.98561954,2.16452579,350,0,True
model_only_no_astar,g4d_offset64_repair512,512,512,512,0,3892,3892,3892,0,0,0,512,361,151,0,49.36433457,1.08386582,228,0,True
model_only_no_astar,g4d_offset64_static512,512,512,512,0,3892,3892,3892,0,0,0,512,398,114,0,49.35313699,1.07266824,211,0,True
model_plus_static_distance_fallback,g4d_first1024_no_fault,1024,1024,1024,0,8145,8145,6660,1485,0,0,1024,732,292,0,55.35371783,1.51836626,554,0,True
model_plus_static_distance_fallback,g4d_first144_no_fault,144,144,144,0,1138,1138,925,213,0,0,144,112,32,0,48.06159088,0.24770199,42,0,True
model_plus_static_distance_fallback,g4d_first256_no_fault,256,256,256,0,2012,2012,1641,371,0,0,256,202,54,0,48.10350846,0.33944596,83,0,True
model_plus_static_distance_fallback,g4d_first512_no_fault,512,512,512,0,3967,3967,3253,714,0,0,512,408,104,0,48.1244682,0.47954632,171,0,True
model_plus_static_distance_fallback,g4d_offset2048_1024_high_density,1024,977,977,0,7962,7962,6151,1811,0,0,977,501,476,0,125.06063645,1.4542905,663,0,True
