scenario,segment_id,task_id,g3f_edge,legacy_node_window_planned,legacy_node_window_contains_edge,legacy_node_window_path,sipp_full_route_planned,sipp_full_route_contains_edge,sipp_full_route_path,alignment_note
legacy_first32,20:storage_in,20,27->28,True,True,3 16 21 23 24 27 28 47,True,True,3 16 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_first32,27:storage_in,27,18->22,True,False,5 19 25 26 43 15 14 46 36 38 39 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_first32,26:storage_in,26,18->22,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_first32,26:storage_in,26,18->22,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_first32,30:storage_in,30,18->22,True,True,5 19 18 22 24 27 28 47,True,False,5 19 25 26 43 15 14 46 36 38 39 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
legacy_first32,25:storage_in,25,27->28,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,35:storage_in,35,27->28,True,False,4 17 18 22 26 43 15 14 46 36 38 39 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,32:storage_in,32,27->28,True,True,2 9 7 8 11 13 23 24 27 28 47,True,True,2 9 7 8 11 13 23 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,32:storage_in,32,27->28,True,True,2 9 7 8 11 13 23 24 27 28 47,True,True,2 9 7 8 11 13 23 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,34:storage_in,34,27->28,True,True,3 16 21 23 24 27 28 47,True,True,3 16 21 23 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,37:storage_in,37,27->28,True,True,5 19 18 22 24 27 28 47,True,False,5 19 25 26 43 15 14 46 36 38 39 47,legacy_path_uses_edge_but_sipp_reroutes_or_delays_elsewhere
legacy_offset32_static16,44:storage_in,44,27->28,True,True,3 16 21 23 24 27 28 47,True,True,3 16 21 23 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset32_static16,46:storage_in,46,27->28,True,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,68:storage_in,68,18->22,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,73:storage_in,73,18->22,True,True,5 19 18 22 24 27 28 47,True,True,5 19 18 22 24 27 28 47,sipp_preserves_blocked_legacy_edge_with_full_route_timing
legacy_offset64_repair32,66:storage_in,66,27->28,False,False,,True,False,4 17 18 22 26 43 15 14 46 36 38 39 47,full_route_scheduler_uses_alternate_timing_or_route
