generation_id,input_identity_sha256,stage,rule_id,rule_family,status,execution_status,planned_rule_count,eligible_rule_count,stage_d_mechanism_rule_count,causal_label_count,formal_causal_eligible,diagnostic_only,runtime_deployable_by_design,stage_d_reference_scope,stage_d_equivalent_rule_id,observed_mean_delta_vs_m0_seconds,observed_p95_delta_vs_m0_seconds,causal_upper_bound_seconds_per_bag,metric_status,reason,row_sha256
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M0,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,M0,0,0,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,dd3394e434fe3da3e0e0985281329d83f357c76d3bf3f19c5b821b209eb0790b
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M1,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,M1,0,0,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,64cd5b2668a5c228e6d9e22c055ff23cbaba6570067a189e38a3fee2754c648a
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M2,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,M2,0,0,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,0d52b804caa48a2c2796707968a506d94e47292c37c6fabc5df288e71a7e90e9
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M3,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,8e9db414bda736522d3a52a1b945eee9ab8cb7e21d34d84900f8ed9009dfcbc6
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M4,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,81e52cb3069e398288ac97a9961d2da585b5e6452ce8fbc6a054291d72f82004
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M5,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,46bf9c09d22b644983f63222fa5a0c0d622be10191ffa5db4f06db8c17d7bd3d
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M6,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,f31d591779e936116070d002e420760cf00ef29d494af4e03be878dd8bfe8570
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-M7,MERGE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,true,false,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,052b7dcc4432ba64f48065dd877b11077d7938e3b4f4b7be048e5cd56d89ee31
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-S0,SOURCE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,1849b9710f98aae4157476509fa0e1912bb00eaff1c1e9c211761f3785b668ed
a8db7027c44c66614ac3f7b04f414b10ce7863f066eebcc901177d9cc1ff363a,ae5bed39061e4ad6095d8fd8eea3922b4e5fb5d1c71237d3cd975a69e21f371f,F,R-S1,SOURCE_ORDER,NOT_RUN_UPSTREAM_CAUSAL_GATE,NOT_RUN,14,0,7,0,false,false,true,SEPARATE_144_SEGMENT_MECHANISM_EVIDENCE_ONLY,,,,,NOT_MEASURED,NO_FORMAL_STAGE_E_MATCHED_INTERVENTION_CAMPAIGN,b024b534dc101a58b3f3aa5dc5979a39991e42a294bf5c756297e009b99de09f
