scenario,context,segment_id,task_id,current,legacy_next,edge,ready_time,occupancy_start,occupancy_end,release_time_from_blocker,wait_needed_if_nonoccupying,g3f_local_label,g3f_terminal_reason,local_hold_model,route_window_counterfactual,sipp_full_route_planned,sipp_path,sipp_uses_same_next_after_current,legacy_node_window_planned,legacy_node_window_path,required_semantics
legacy_first32,no_fault,20:storage_in,20,27,28,27->28,10729.37885,10728.2,10739.0,10739.0,9.621150000000853,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,3 16 17 18 22 24 27 28 47,True,True,3 16 21 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_first32,no_fault,27:storage_in,27,18,22,18->22,11276.91203,11275.0,11283.4,11283.4,6.487970000000132,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 18 22 24 27 28 47,True,True,5 19 25 26 43 15 14 46 36 38 39 47,backpressure_or_non_node_occupying_wait
legacy_first32,no_fault,26:storage_in,26,18,22,18->22,11278.616360000002,11275.0,11283.4,11283.4,4.783639999997831,LEGACY_NEXT_GLOBALLY_UNSAFE,,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_first32,no_fault,26:storage_in,26,18,22,18->22,11279.616360000002,11275.0,11283.4,11283.4,3.783639999997831,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_first32,no_fault,30:storage_in,30,18,22,18->22,11281.06746,11275.0,11283.4,11283.4,2.332539999999426,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 25 26 43 15 14 46 36 38 39 47,False,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_first32,no_fault,25:storage_in,25,27,28,27->28,11302.445409999998,11292.4,11303.2,11303.2,0.7545900000022812,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,35:storage_in,35,27,28,27->28,11315.93412,11311.0,11321.8,11321.8,5.865879999999379,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 26 43 15 14 46 36 38 39 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,32:storage_in,32,27,28,27->28,11317.573150000004,11311.0,11321.8,11321.8,4.226849999995466,LEGACY_NEXT_GLOBALLY_UNSAFE,,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,2 9 7 8 11 13 23 24 27 28 47,True,True,2 9 7 8 11 13 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,32:storage_in,32,27,28,27->28,11318.573150000004,11311.0,11321.8,11321.8,3.2268499999954656,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,2 9 7 8 11 13 23 24 27 28 47,True,True,2 9 7 8 11 13 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,34:storage_in,34,27,28,27->28,11320.03961,11311.0,11321.8,11321.8,1.760389999999461,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,3 16 21 23 24 27 28 47,True,True,3 16 21 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,37:storage_in,37,27,28,27->28,11326.33412,11321.8,11332.6,11332.6,6.265880000000834,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,5 19 25 26 43 15 14 46 36 38 39 47,False,True,5 19 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,44:storage_in,44,27,28,27->28,11905.348899999999,11901.0,11911.8,11911.8,6.451100000000224,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,3 16 21 23 24 27 28 47,True,True,3 16 21 23 24 27 28 47,backpressure_or_non_node_occupying_wait
legacy_offset32_static16,static_fault,46:storage_in,46,27,28,27->28,11906.9489,11901.0,11911.8,11911.8,4.85109999999986,ABSTAIN_NO_TEACHER,edge_capacity,fails_current_node_capacity,wait_or_delay_upstream_before_current_node,True,4 17 18 22 24 27 28 47,True,True,4 17 18 22 24 27 28 47,backpressure_or_non_node_occupying_wait
