policy,planned_count,scope_total,teacher_planned_scope,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,model_selected_decision_count,rule_fallback_calls,bounded_local_search_calls,zero_full_astar_task_share,route_exact_count,deviated_success_count,failed_count,loop_deadlock_cases,loop_count,nonprogress_steps,avg_no_progress_steps_per_task,mean_wait_seconds,mean_transport_time,experiment_scope
model_only_no_astar,4449,4449,4449,0,0,34477,34477,0,0,1,2850,1599,0,0,0,2264,0.5088784,1.28137748,69.19758337,g4d_teacher_planned_scope
model_plus_bounded_local_search_k2,4449,4449,4449,0,0,39702,32631,7071,7071,1,2826,1623,0,0,1213,3278,0.73679479,1.07706701,77.34647587,g4d_teacher_planned_scope
model_plus_bounded_local_search_k3,4449,4449,4449,0,0,39269,32305,6964,6964,1,2781,1668,0,0,1100,3275,0.73612048,1.28000677,77.04516748,g4d_teacher_planned_scope
model_plus_bounded_local_search_k5,4449,4449,4449,0,0,39562,32651,6911,6911,1,2852,1597,0,0,710,2601,0.58462576,0.8599309,77.27597945,g4d_teacher_planned_scope
model_plus_node_window_fallback,4449,4449,4449,0,0,35242,28623,6619,0,1,3096,1353,0,0,0,2224,0.49988762,1.07982091,68.41221021,g4d_teacher_planned_scope
model_plus_pibt_lite_fallback,4449,4449,4449,0,0,35235,28623,6612,0,1,3097,1352,0,0,0,2214,0.49763992,1.07322538,68.41042475,g4d_teacher_planned_scope
model_plus_pibt_lite_fallback,15360,15360,,0,0,122625,96402,26223,0,1,0,0,0,0,45,15951,1.03847656,9.66862682,110.51113984,raw_inputdata_stress
model_plus_static_distance_fallback,4449,4449,4449,0,0,35262,28623,6639,0,1,3072,1377,0,0,0,2311,0.51944257,1.2544693,68.51700021,g4d_teacher_planned_scope
node_window_aware_only,582,4449,4449,0,0,0,0,98484,0,1,252,330,3867,3867,27833,31883,7.16632951,6.28898201,215.15949626,g4d_teacher_planned_scope
pibt_lite_only,582,4449,4449,0,0,0,0,98518,0,1,261,321,3867,3867,27907,31877,7.16498089,5.40829444,215.08556392,g4d_teacher_planned_scope
static_distance_only,582,4449,4449,0,0,0,0,97991,0,1,263,319,3867,3867,27086,31294,7.03394021,20.42495893,237.71627698,g4d_teacher_planned_scope
