window_id,task_id,segment_id,current_node,goal_node,candidate_next_nodes,model_prediction,teacher_next,fallback_reason,risk_margin,historical_risk,bottleneck_score,downstream_pressure_2hop,downstream_pressure_3hop,node_pressure,candidate_pressure,is_branch_node,did_fallback_match_teacher,would_model_have_been_wrong,whether_task_later_success,scores,label_type
g4d_first144_no_fault,0,0:storage_in,16,47,"[17, 21]",21,17,low_margin,0.5010777,0,1,0,0,0,0,True,True,True,True,"[0.7931690075235666, 1.29424670826803]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,0,0:storage_in,22,47,"[24, 26]",24,24,low_margin,2.4557676,0,1,0,0,0,0,True,True,False,True,"[1.613802978582526, -0.8419646224587662]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,1,1:storage_in,22,47,"[24, 26]",24,24,low_margin,2.4551641,0,1,0,0,0,0,True,True,False,True,"[1.5919935182140728, -0.8631705794845963]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,2,2:storage_in,19,47,"[18, 25]",18,18,low_margin+historical_risk,1.81596496,1,1,0,0,0,0,True,True,False,True,"[0.9717370946977325, -0.8442278626192234]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,2,2:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45515638,0,1,0,0,0,0,True,True,False,True,"[1.5917314781052623, -0.8634248989315303]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,3,3:storage_in,16,47,"[17, 21]",21,17,low_margin,0.50150926,0,1,0,0,0,0,True,True,True,True,"[0.7700371839163445, 1.2715464463748465]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,3,3:storage_in,22,47,"[24, 26]",24,24,low_margin,2.4551482,0,1,0,0,0,0,True,True,False,True,"[1.5914543129868068, -0.8636938856414007]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,4,4:storage_in,16,47,"[17, 21]",21,17,low_margin,0.50189976,0,1,0,0,0,0,True,True,True,True,"[0.7480170864183578, 1.249916849975038]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,4,4:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45448236,0,1,0,0,0,0,True,True,False,True,"[1.5701490330757033, -0.8843333239946716]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,5,5:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45547417,0,1,0,0,0,0,True,True,False,True,"[1.6028497975059555, -0.8526243759402024]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,6,6:storage_in,19,47,"[18, 25]",18,18,low_margin+historical_risk,1.81395555,1,1,0,0,0,0,True,True,False,True,"[0.9270441850502256, -0.8869113669096589]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,6,6:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45372298,0,1,0,0,0,0,True,True,False,True,"[1.5482834150971563, -0.9054395695609465]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,7,7:storage_in,16,47,"[17, 21]",21,17,low_margin,0.50228806,0,1,0,0,0,0,True,True,True,True,"[0.7249182064628118, 1.227206268806251]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,7,7:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45370415,0,1,0,0,0,0,True,True,False,True,"[1.5477677494857462, -0.9059364008537734]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,8,8:storage_in,6,47,"[8, 12]",12,12,low_margin+historical_risk,0.71514991,1,1,0,0,0,0,True,True,False,True,"[0.1885829469940863, 0.9037328536213323]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,9,9:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45514525,0,1,0,0,0,0,True,True,False,True,"[1.5913544288117196, -0.8637908194478519]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,10,10:storage_in,19,47,"[18, 25]",18,18,low_margin+historical_risk,1.81391031,1,1,0,0,0,0,True,True,False,True,"[0.9260889121612437, -0.8878214003534655]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,10,10:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45368899,0,1,0,0,0,0,True,True,False,True,"[1.547353646720921, -0.9063353479913541]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,11,11:storage_in,11,47,"[13, 14]",13,13,low_margin+historical_risk,1.18463064,1,1,0,0,0,0,True,True,False,True,"[1.1994874358247878, 0.014856800813837223]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,12,12:storage_in,6,47,"[8, 12]",12,12,low_margin+historical_risk,0.7151103,1,1,0,0,0,0,True,True,False,True,"[0.19007596283365702, 0.9051862671675949]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,13,13:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45547966,0,1,0,0,0,0,True,True,False,True,"[1.6030482741075796, -0.8524313900533564]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,14,14:storage_in,19,47,"[18, 25]",18,18,low_margin+historical_risk,1.81283897,1,1,0,0,0,0,True,True,False,True,"[0.9040274069620916, -0.9088115593415624]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,14,14:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45286507,0,1,0,0,0,0,True,True,False,True,"[1.525868290221048, -0.9269967805890726]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,15,15:storage_in,16,47,"[17, 21]",21,17,low_margin,0.50150641,0,1,0,0,0,0,True,True,True,True,"[0.7701942454415759, 1.2717006513713085]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,15,15:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45515268,0,1,0,0,0,0,True,True,False,True,"[1.5916061683501863, -0.8635465126693007]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,16,16:storage_in,16,47,"[17, 21]",21,17,low_margin,0.50265283,0,1,0,0,0,0,True,True,True,True,"[0.7019269256409402, 1.20457975143915]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,16,16:storage_in,22,47,"[24, 26]",24,24,low_margin,2.45284862,0,1,0,0,0,0,True,True,False,True,"[1.5254578796923803, -0.9273907361795282]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,17,17:storage_in,9,47,"[7, 10]",7,7,low_margin,0.9260667,0,1,0,0,0,0,True,True,False,True,"[0.18800493607201996, -0.7380617638407478]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,17,17:storage_in,11,47,"[13, 14]",13,13,low_margin+historical_risk,1.18462895,1,1,0,0,0,0,True,True,False,True,"[1.1996850904257186, 0.015056139249115197]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,18,18:storage_in,6,47,"[8, 12]",12,12,low_margin+historical_risk,0.71632,1,1,0,0,0,0,True,True,False,True,"[0.20594757302046351, 0.9222675771179579]",MOVE_TO_NEXT_CIE
g4d_first144_no_fault,19,19:storage_in,11,47,"[13, 14]",13,13,low_margin+historical_risk,1.18430542,1,1,0,0,0,0,True,True,False,True,"[1.2327329790461108, 0.04842755615449379]",MOVE_TO_NEXT_CIE
