mode,kind,repeat_count,mean_seconds,median_seconds,std_seconds,ci95_seconds,min_seconds,max_seconds,p95_seconds,planned_count,scope_total,node_window_conflicts,runtime_full_cie_astar_calls,model_inference_count,rule_fallback_calls,tasks_per_second,decisions_per_second,notes
cpp_trace0_summary_profile_off,cpp_no_astar,5,0.41133962,0.4087226,0.00712843,0.00624834,0.4051305,0.4235537,0.4235537,4449,4449,0,0,35235,6612,10815.88007526,101733.45325005,"No trace rows, no task payload, final node-conflict audit on."
cpp_trace500_tasks_profile_off,cpp_no_astar,5,0.44381448,0.4327559,0.02141529,0.01877133,0.426628,0.4764907,0.4764907,4449,4449,0,0,35235,6612,10024.45886897,94289.39768257,G4I-like trace sample and full task payload.
cpp_full_trace_tasks_profile_off,cpp_no_astar,5,0.65323438,0.6759404,0.05117068,0.04485308,0.5618411,0.6790135,0.6790135,4449,4449,0,0,35235,6612,6810.72542428,64061.23327258,Full decision trace for the G4D planned scope.
cpp_profile_on_trace0_summary,cpp_no_astar,5,0.43937248,0.4385443,0.0078443,0.00687584,0.4318845,0.4510726,0.4510726,4449,4449,0,0,35235,6612,10125.80487604,95242.65152793,Profiler enabled with summary-only payload.
cpp_profile_on_trace500_tasks,cpp_no_astar,5,0.48300874,0.4690206,0.03975203,0.03484419,0.4533942,0.5529857,0.5529857,4449,4449,0,0,35235,6612,9211.01344866,86638.18381349,Profiler enabled with trace sample and task payload.
cpp_no_edge_diag_trace0_summary,cpp_no_astar,5,0.39282838,0.3927194,0.00295262,0.00258808,0.3883238,0.3963366,0.3963366,4449,4449,0,0,35235,6612,11325.55646981,106527.43573662,Diagnostic edge-overlap counter disabled; behavior should not change.
cpp_no_final_scan_trace0_summary,cpp_no_astar,5,0.39568538,0.3942512,0.00370225,0.00324517,0.3914795,0.3997508,0.3997508,4449,4449,0,0,35235,6612,11243.78161126,105758.26682099,Final full conflict scan disabled for latency diagnosis; reservation safety remains active.
cpp_no_edge_diag_no_final_scan_trace0_summary,cpp_no_astar,5,0.38162104,0.3781631,0.0056385,0.00494237,0.377673,0.3908196,0.3908196,4449,4449,0,0,35235,6612,11658.16224435,109655.90367259,Best latency diagnostic mode; not a safety-reporting mode by itself.
cpp_no_file_io_trace0_summary,cpp_no_astar,5,0.39844746,0.397987,0.00166198,0.00145679,0.3965295,0.4010117,0.4010117,4449,4449,0,0,35235,6612,11165.83852655,105025.1393168,Timed before writing any G4IR2 files; pybind call only.
python_reference_no_astar,python_reference,5,8.63101872,8.5886524,0.13072967,0.11458961,8.4803387,8.8170416,8.8170416,4449,4449,0,0,35235,6612,515.46638286,4848.44273402,Python reference loop from G4I parity path.
static_astar_proxy_lower_bound,static_astar_proxy,5,0.12578112,0.1258168,0.00115014,0.00100815,0.1240785,0.1271679,0.1271679,4449,4449,0,15852,17796,0,35370.96823434,141483.87293737,"Measured C++ static A* path proxy scaled to G4D retry attempts; lower-bound proxy, not Java GUI runtime."
