job_id,prefix_segments,kind,coverage_cap,telemetry_mode,telemetry_enabled,opportunity_trace_total_count,opportunity_trace_stored_count,opportunity_trace_dropped_count,status,eligible_sufficient_for_one_applied_action,model_opportunity_count,model_eligible_count,model_proposal_count,model_applied_count,model_ownership_count,distinct_action_mutation_count,realized_coverage,counter_order_identity_pass,hard_safety_pass,native_contract_pass,deployment_status_research_only_pass,production_promotion_false_pass,deployment_status,deployment_validation_source,production_closed_loop_authorized,production_promotion_authorized,model_ood_count,model_invalid_count,model_fallback_count,j2_fallback_count,tie_fifo_fallback_count,shadow_fallback_count,authorization_fallback_count,coverage_cap_fallback_count,override_cap_fallback_count,starvation_guard_fallback_count,kill_switch_fallback_count,kill_switch_trip_count,kill_switch_reason,mean_tth_seconds,p95_tth_seconds,p99_tth_seconds,source_wait_mean_seconds,merge_grant_wait_mean_seconds,network_time_mean_seconds,event_count,paired_complete_bag_count,paired_tth_improved_count,paired_tth_harmed_count,paired_tth_unchanged_count,mean_tth_delta_seconds,p95_tth_delta_seconds,p99_tth_delta_seconds,source_wait_mean_delta_seconds,merge_grant_wait_mean_delta_seconds,network_time_mean_delta_seconds,event_count_delta,events_per_requested_segment_delta
j2_control__s144,144,control,0.0,evidence_trace,,,,,COMPLETE,False,,,,,,,,,True,True,True,True,,policy_off_control,False,False,,,,,,,,,,,,,,10212.380695319443,11436.12360435,11543.138159600001,1.2743055555555556,0.7290605555552045,224.2122272222206,14122,72,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s144__smoke__c100,144,learned,1.0,evidence_trace,,,,,COMPLETE,False,442,0,0,0,0,0,,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,10212.380695319443,11436.12360435,11543.138159600001,1.2743055555555556,0.7290605555552045,224.2122272222206,14122,72,0,0,72,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j2_control__s512,512,control,0.0,evidence_trace,,,,,COMPLETE,False,,,,,,,,,True,True,True,True,,policy_off_control,False,False,,,,,,,,,,,,,,8816.347362785154,11175.843132499996,11752.4073765,3.126953125,1.1679588281244833,228.39195269531064,50383,256,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s512__c010,512,learned,0.1,evidence_trace,,,,,COMPLETE,True,1573,13,13,1,1,0,0.07692307692307693,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,12,12,0,0,0,12,0,0,0,0,,8816.347362785154,11175.843132499996,11752.4073765,3.126953125,1.1679588281244833,228.39195269531064,50383,256,0,0,256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j2_control__s2048,2048,control,0.0,evidence_trace,,,,,COMPLETE,False,,,,,,,,,True,True,True,True,,policy_off_control,False,False,,,,,,,,,,,,,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.657408223495724,238.42845702005408,208385,1047,0,0,1047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s2048__c005,2048,learned,0.05,evidence_trace,,,,,COMPLETE,True,6407,138,138,6,6,0,0.043478260869565216,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,132,132,0,0,0,132,0,0,0,0,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.657408223495724,238.42845702005408,208385,1047,0,0,1047,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s2048__c025,2048,learned,0.25,evidence_trace,,,,,COMPLETE,True,6407,138,138,34,34,1,0.2463768115942029,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,104,104,0,0,0,104,0,0,0,0,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.657408223495724,238.42845702005408,208385,1047,1,1,1045,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s2048__c050,2048,learned,0.5,evidence_trace,,,,,COMPLETE,True,6407,138,138,69,69,1,0.5,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,69,69,0,0,0,69,0,0,0,0,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.657408223495724,238.42845702005408,208385,1047,1,1,1045,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s2048__c080,2048,learned,0.8,evidence_trace,,,,,COMPLETE,True,6407,137,137,109,109,3,0.7956204379562044,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,28,28,0,0,0,28,0,0,0,0,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.6564963705826372,238.42845702005408,208385,1047,3,4,1040,0.0,0.0,0.0,0.0,-0.0009118529130867081,0.0,0,0.0
j7_learned__s2048__c100,2048,learned,1.0,evidence_trace,,,,,COMPLETE,True,6407,137,137,137,137,3,1.0,True,True,True,True,True,research_fixed_workload_only_not_promoted,deterministic_native_formula_from_persisted_inputs,False,False,0,0,0,0,0,0,0,0,0,0,0,0,,6312.535969764085,10876.219158999995,11450.6729738,16.739493791786057,1.6564963705826372,238.42845702005408,208385,1047,3,4,1040,0.0,0.0,0.0,0.0,-0.0009118529130867081,0.0,0,0.0
j2_control__s8192,8192,control,0.0,evidence_trace,True,28424,28424,0,COMPLETE,False,,,,,,,,,True,True,True,True,off,policy_off_control,False,False,,,,,,,,,,,,,,3439.282884451405,9527.676140999993,11014.033238099995,35.031135157207025,2.128532043691706,238.97831320946955,886914,4898,0,0,4898,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s8192__c100,8192,learned,1.0,evidence_trace,True,28352,28352,0,COMPLETE,True,27153,935,919,919,919,44,0.9828877005347594,True,True,True,True,True,research_fixed_workload_only_not_promoted,native_summary_echo,False,False,0,0,16,16,0,0,0,0,0,16,0,0,,3439.282884451405,9527.676140999993,11014.033238099995,35.031135157207025,2.0925700734997905,238.97831320946955,886908,4898,35,85,4778,0.0,0.0,0.0,0.0,-0.035961970191915604,0.0,-6,-0.000732421875
j2_control__s43603,43603,control,0.0,capacity,False,0,0,0,COMPLETE,False,,,,,,,,,True,True,True,True,off,policy_off_control,False,False,,,,,,,,,,,,,,2490.6626720249424,7348.184714999998,10789.015762999989,21.684706728408056,1.7466487918343927,226.71787323721352,4985640,28506,0,0,28506,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
j7_learned__s43603__c100,43603,learned,1.0,capacity,False,160490,0,160490,COMPLETE,True,156170,3526,3500,3500,3500,154,0.9926262053318208,True,True,True,True,True,research_fixed_workload_only_not_promoted,native_summary_echo,False,False,0,0,26,26,0,0,0,0,0,26,0,0,,2490.6580186235533,7348.184714999998,10789.015762999989,21.681347786430926,1.7286097435638472,226.7165787778015,4985868,28506,207,286,28013,-0.0046534013890777715,0.0,0.0,-0.0033589419771296036,-0.018039048270545477,-0.0012944594120369857,228,0.005228998004724872
