policy,task_stream_generation_level,topology_changed,source_manifest,task_count,planned_count,node_window_conflicts,runtime_full_cie_astar_calls,edge_overlap_diagnostic_only,affected_move_count_shadow,affected_move_share_shadow,elapsed_seconds,counted_as_primary_conflict,notes
edge_diag_only,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8192,8192,0,0,370231,73071,0.9728661,5.8736865,False,Shadow pressure audit only; edge_capacity=1 is not promoted.
soft_edge_pressure_low,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8192,8192,0,0,370231,73071,0.9728661,5.8736865,False,Shadow pressure audit only; edge_capacity=1 is not promoted.
soft_edge_pressure_mid,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8192,8192,0,0,370231,47324,0.63007096,5.8736865,False,Shadow pressure audit only; edge_capacity=1 is not promoted.
soft_edge_pressure_high,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8192,8192,0,0,370231,26888,0.35798639,5.8736865,False,Shadow pressure audit only; edge_capacity=1 is not promoted.
edge_headway_shadow_audit,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,8192,8192,0,0,370231,16077,0.21404892,5.8736865,False,Shadow pressure audit only; edge_capacity=1 is not promoted.
