group,status,feature_count,validation_opportunity_count,validation_top1_accuracy,validation_mean_regret,validation_max_regret,validation_mean_utility,validation_baseline_mean_utility,validation_native_policy_mean_utility,validation_mean_utility_gain_vs_baseline,validation_offline_distinct_action_mutation_count,validation_offline_distinct_action_mutation_rate,validation_native_distinct_action_mutation_count,reason
F2_OLD_22,NOT_EVALUATED,22,,,,,,,,,,,,merge trace lacks the frozen map-coded/training-risk block; zero fill is forbidden
G17_LOCAL_39,NOT_EVALUATED,39,,,,,,,,,,,,merge trace lacks the complete G17 source-front observation
RICH_LOCAL_V1,NOT_EVALUATED,60,,,,,,,,,,,,"merge trace exposes only the native merge candidate subset, not the complete 60D contract"
LEGACY_PLUS_RICH,NOT_EVALUATED,89,,,,,,,,,,,,neither the legacy 29D block nor complete RICH_LOCAL_V1 is reconstructible
MERGE_TRACE_LOCAL_V1_FULL,EVALUATED,18,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,all directly observed and candidate-set-relative merge-local fields
MERGE_TRACE_LOCAL_V1_WITHOUT_TIMING_AND_URGENCY,EVALUATED,14,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,drop timing_and_urgency
MERGE_TRACE_LOCAL_V1_WITHOUT_SERVICE_AND_PRESSURE,EVALUATED,15,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,drop service_and_pressure
MERGE_TRACE_LOCAL_V1_WITHOUT_ROUTE_AND_STATIC_PROGRESS,EVALUATED,16,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,drop route_and_static_progress
MERGE_TRACE_LOCAL_V1_WITHOUT_TASK_AND_LEG,EVALUATED,15,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,drop task_and_leg
MERGE_TRACE_LOCAL_V1_WITHOUT_CANDIDATE_SET_RELATIVE,EVALUATED,12,27,0.9629629629629629,2.45356481481323e-05,0.0006624624999995721,-1.697646042129629,-1.6976215064814808,-1.7193208824074082,-2.45356481481323e-05,1,0.037037037037037035,26,drop candidate_set_relative
