replay_variant,planned_count,max_tasks,branch_effective_label_coverage,post_shield_conflicts,real_constraint_conflicts,g4a_gate_pass,diagnostic_only
ablation_disable_edge_capacity,125,144,1.0,0,491,False,True
ablation_edge_capacity_2,96,144,0.780439121756487,0,131,False,True
g3c_baseline_reproduction,78,144,0.48652482269503544,0,0,False,False
hybrid_legacy_wait_sipp_fallback,92,144,0.9580246913580247,0,0,False,False
jump_to_earliest_safe_time,88,144,0.9323308270676691,0,0,False,False
reroute_from_current_legacy,94,144,0.6419213973799127,0,0,False,False
wait_fixed_hold_5s,93,144,0.9694072657743786,0,0,False,False
