arm,repeat,denominator,count,min_seconds,mean_seconds,median_seconds,p95_seconds,p99_seconds,max_seconds,wall_seconds,cpu_seconds,event_count,decision_count,events_per_wall_second,hard_safety_pass
F2,0,processed_attempt,28506,188.00199999998586,211.39715512523665,201.4019999999946,247.20400000004156,267.39649999999466,452.80399999999645,12.372502699989127,12.109375,4233483,340738,342168.68669616216,True
F2,0,java_release,28506,188.00199999998586,211.39715512523665,201.4019999999946,247.20400000004156,267.39649999999466,452.80399999999645,12.372502699989127,12.109375,4233483,340738,342168.68669616216,True
F2,0,original_entry,28506,187.01288999999815,2558.0869185889287,2633.6500700000397,7520.546569999984,10819.68549100003,12405.533459999999,12.372502699989127,12.109375,4233483,340738,342168.68669616216,True
S4,0,processed_attempt,28506,188.00199999998586,210.76973465235392,201.4019999999946,247.20399999998335,254.00400000001446,407.403999999995,19.31012740000733,18.953125,3995959,339437,206935.92109591587,True
S4,0,java_release,28506,188.00199999998586,210.76973465235392,201.4019999999946,247.20399999998335,254.00400000001446,407.403999999995,19.31012740000733,18.953125,3995959,339437,206935.92109591587,True
S4,0,original_entry,28506,187.01288999999815,2557.459498116046,2632.2953700000435,7516.924384999991,10818.984652999978,12405.533459999999,19.31012740000733,18.953125,3995959,339437,206935.92109591587,True
F2,1,processed_attempt,28506,188.00199999998586,211.39715512523665,201.4019999999946,247.20400000004156,267.39649999999466,452.80399999999645,12.713954800012289,12.4375,4233483,340738,332979.23947282776,True
F2,1,java_release,28506,188.00199999998586,211.39715512523665,201.4019999999946,247.20400000004156,267.39649999999466,452.80399999999645,12.713954800012289,12.4375,4233483,340738,332979.23947282776,True
F2,1,original_entry,28506,187.01288999999815,2558.0869185889287,2633.6500700000397,7520.546569999984,10819.68549100003,12405.533459999999,12.713954800012289,12.4375,4233483,340738,332979.23947282776,True
S4,1,processed_attempt,28506,188.00199999998586,210.76973465235392,201.4019999999946,247.20399999998335,254.00400000001446,407.403999999995,19.735124800004996,19.328125,3995959,339437,202479.54043842622,True
S4,1,java_release,28506,188.00199999998586,210.76973465235392,201.4019999999946,247.20399999998335,254.00400000001446,407.403999999995,19.735124800004996,19.328125,3995959,339437,202479.54043842622,True
S4,1,original_entry,28506,187.01288999999815,2557.459498116046,2632.2953700000435,7516.924384999991,10818.984652999978,12405.533459999999,19.735124800004996,19.328125,3995959,339437,202479.54043842622,True
