scenario_id,baseline_status,treatment_status,baseline_hard_safety_pass,treatment_hard_safety_pass,baseline_physical_fault_entry_violation_count,treatment_physical_fault_entry_violation_count,baseline_notification_update_event_count,treatment_notification_update_event_count,baseline_notification_drop_count,treatment_notification_drop_count,baseline_fault_recovery_available,treatment_fault_recovery_available,baseline_fault_recovery_seconds,treatment_fault_recovery_seconds,mean_tth_delta_seconds,source_wait_delta_seconds,merge_grant_wait_delta_seconds,event_count_delta,both_hard_safety_pass,both_zero_physical_fault_entry_violations
pending_inflight_repair,COMPLETE,COMPLETE,True,True,0,0,361290,359950,0,0,True,True,65.27225554999677,65.27225554999677,-1.7941607207021661,-0.22595957533687283,-0.11383845651281499,-3269.0,True,True
inflight_exact_lease_repair,COMPLETE,COMPLETE,True,True,0,0,361283,359943,0,0,True,True,67.65127999999822,67.65127999999822,-1.7941607207021661,-0.22595957533687283,-0.11383845651281499,-3269.0,True,True
