label_type,count
ABSTAIN_TO_SAFE_FALLBACK,0
CIE_NO_PATH_AFTER_RETRY,0
MOVE_TO_NEXT_CIE,1186
WAIT_AT_NODE_TIME_WINDOW,0
WAIT_AT_SOURCE_RETRY,17
