run,start,goal,count,mean_seconds,historical_mean_seconds,mean_relative_error,min_seconds,historical_min_seconds,max_seconds,historical_max_seconds
boundary_clearance_v5,3,47,2332,122.06097770154362,91.49232418524868,0.33411167317600543,65.0,65.8,603.0,282.6
boundary_clearance_v5,52,49,6996,172.12867352772966,162.74120926243356,0.057683387679380305,157.4,157.9,229.4,233.0
boundary_clearance_v5,4,47,2234,116.8743957027752,86.60850492390414,0.3494563357889995,60.4,61.1,597.4,242.0
boundary_clearance_v5,5,47,2274,117.64344766930532,89.99221635883877,0.30726247701477716,59.6,60.2,600.6,276.3
boundary_clearance_v5,52,48,3490,213.28028653295252,212.60538681948208,0.0031744243340525724,206.2,206.5,267.0,362.6
boundary_clearance_v5,0,47,1519,136.60289664252795,94.97346938775502,0.4383269088002828,61.4,62.2,599.8,200.8
boundary_clearance_v5,52,50,4611,210.2331815224467,210.53101279548926,-0.0014146669846303306,198.4,199.0,270.2,387.3
boundary_clearance_v5,1,47,1497,142.67267869071483,112.40754843019377,0.26924464311501306,68.0,68.9,609.6,234.6
boundary_clearance_v5,2,47,1464,145.95655737704914,109.63504098360647,0.3312947764471923,72.6,73.5,609.2,219.3
boundary_clearance_v5,53,47,3777,114.74784220280735,71.58252581413694,0.6030147148027238,60.8,61.4,597.6,249.2
boundary_clearance_v5,5,49,1714,228.92112018669923,249.1019836639442,-0.08101446315445782,212.2,213.3,746.6,416.4
boundary_clearance_v5,3,49,1661,260.36363636363615,252.29831426851482,0.03196740381918528,217.6,218.9,753.4,480.4
boundary_clearance_v5,4,49,1736,258.17741935483843,245.28058755760557,0.052579912359366654,213.0,214.2,750.8,464.9
boundary_clearance_v5,53,49,215,212.57860465116292,246.44790697674392,-0.1374298639459619,206.8,214.5,500.0,393.7
boundary_clearance_v5,5,48,898,329.7933184855238,266.18775055679214,0.2389500185327318,231.2,231.8,768.8,440.2
boundary_clearance_v5,4,48,917,330.6436205016356,261.4225736095965,0.26478603563674086,232.0,232.7,769.2,381.3
boundary_clearance_v5,3,48,894,341.9630872483219,269.12136465324335,0.27066495701273463,236.6,237.4,775.6,442.2
boundary_clearance_v5,0,50,1366,218.0537335285486,241.66544655929806,-0.09770413340806583,217.0,217.7,228.8,378.5
boundary_clearance_v5,2,50,1402,222.9433666191162,237.9446504992863,-0.06304526640415098,222.0,222.7,234.4,363.1
boundary_clearance_v5,53,48,107,324.4953271028038,279.429906542056,0.16127629686611633,232.4,233.0,750.0,362.3
boundary_clearance_v5,1,50,1365,218.60395604395453,243.42285714285728,-0.10195797301129084,217.4,218.1,231.2,387.2
boundary_clearance_v5,0,49,315,276.96888888888867,252.705714285714,0.09601355739721118,214.0,215.3,734.6,356.5
boundary_clearance_v5,1,49,331,213.92507552870094,268.00483383685764,-0.20178650337731086,206.4,222.0,732.4,359.3
boundary_clearance_v5,2,49,333,224.28768768768714,270.045045045045,-0.1694434250764545,211.0,226.6,745.4,402.3
boundary_clearance_v5,53,50,155,218.21161290322559,235.38193548387113,-0.0729466453971872,217.8,218.2,222.2,359.0
next_tick_service_v4,3,47,2332,71.7825900514579,91.49232418524868,-0.21542500214426274,65.0,65.8,125.4,282.6
next_tick_service_v4,52,49,6996,160.39379645511667,162.74120926243356,-0.014424206492969383,157.4,157.9,176.2,233.0
next_tick_service_v4,4,47,2234,66.55094001790532,86.60850492390414,-0.2315888598195035,60.4,61.1,116.8,242.0
next_tick_service_v4,5,47,2274,65.94256816182943,89.99221635883877,-0.2672414256485557,59.6,60.2,113.4,276.3
next_tick_service_v4,52,48,3490,208.99742120343953,212.60538681948208,-0.01697024553336446,206.2,206.5,236.6,362.6
next_tick_service_v4,0,47,1519,69.58314680711008,94.97346938775502,-0.2673412137549913,61.4,62.2,132.0,200.8
next_tick_service_v4,52,50,4611,200.29754933853675,210.53101279548926,-0.04860786694116814,198.4,199.0,216.6,387.3
next_tick_service_v4,1,47,1497,76.69258517034069,112.40754843019377,-0.3177274458755093,68.0,68.9,140.0,234.6
next_tick_service_v4,2,47,1464,80.83442622950832,109.63504098360647,-0.26269534352985424,72.6,73.5,143.8,219.3
next_tick_service_v4,53,47,3777,63.00926661371448,71.58252581413694,-0.11976748658859582,60.8,61.4,122.4,249.2
next_tick_service_v4,5,49,1714,215.09498249708568,249.1019836639442,-0.13651838763651236,212.2,213.3,236.4,416.4
next_tick_service_v4,3,49,1661,222.11619506321384,252.29831426851482,-0.119628699433873,217.6,218.9,265.2,480.4
next_tick_service_v4,4,49,1736,217.1226958525328,245.28058755760557,-0.11479869640502938,213.0,214.2,254.0,464.9
next_tick_service_v4,53,49,215,209.80837209302337,246.44790697674392,-0.14867050539478932,206.8,214.5,229.6,393.7
next_tick_service_v4,5,48,898,238.23897550111343,266.18775055679214,-0.10499647334341078,231.2,231.8,285.8,440.2
next_tick_service_v4,4,48,917,238.63446019629166,261.4225736095965,-0.08716964682375206,232.0,232.7,289.2,381.3
next_tick_service_v4,3,48,894,244.27561521252807,269.12136465324335,-0.09232172805280048,236.6,237.4,291.8,442.2
next_tick_service_v4,0,50,1366,217.62489019033634,241.66544655929806,-0.09947866652530657,217.0,217.7,222.8,378.5
next_tick_service_v4,2,50,1402,222.48445078459216,237.9446504992863,-0.06497393272869778,222.0,222.7,228.0,363.1
next_tick_service_v4,53,48,107,241.66542056074775,279.429906542056,-0.13514833272015736,232.4,233.0,285.0,362.3
next_tick_service_v4,1,50,1365,218.0266666666645,243.42285714285728,-0.10432952260226136,217.4,218.1,223.8,387.2
next_tick_service_v4,0,49,315,218.24761904761908,252.705714285714,-0.13635661281143774,214.0,215.3,263.4,356.5
next_tick_service_v4,1,49,331,210.6072507552872,268.00483383685764,-0.21416622327233859,206.4,222.0,229.2,359.3
next_tick_service_v4,2,49,333,214.32192192192196,270.045045045045,-0.20634751181540156,211.0,226.6,231.8,402.3
next_tick_service_v4,53,50,155,218.13290322580607,235.38193548387113,-0.073281036722748,217.8,218.2,221.2,359.0
outlet_gate_v3,3,47,2332,71.04296740994837,91.49232418524868,-0.22350898785668138,65.0,65.8,145.6,282.6
outlet_gate_v3,52,49,6996,160.02813036020484,162.74120926243356,-0.016671124139514326,157.4,157.9,175.2,233.0
outlet_gate_v3,4,47,2234,65.85273052820095,86.60850492390414,-0.23965053332740938,60.4,61.1,108.4,242.0
outlet_gate_v3,5,47,2274,65.34898856640288,89.99221635883877,-0.27383732493233015,59.6,60.2,107.4,276.3
outlet_gate_v3,52,48,3490,208.83793696275185,212.60538681948208,-0.017720387583260444,206.2,206.5,236.6,362.6
outlet_gate_v3,0,47,1519,70.04476629361442,94.97346938775502,-0.26248070387280886,61.4,62.2,137.6,200.8
outlet_gate_v3,52,50,4611,200.1253957926697,210.53101279548926,-0.04942557804026537,198.4,199.0,215.2,387.3
outlet_gate_v3,1,47,1497,77.66492985971944,112.40754843019377,-0.3090772733296452,68.0,68.9,187.6,234.6
outlet_gate_v3,2,47,1464,81.73005464480883,109.63504098360647,-0.2545261632452914,72.6,73.5,191.2,219.3
outlet_gate_v3,53,47,3777,62.81270849880842,71.58252581413694,-0.12251338180073779,60.8,61.4,143.2,249.2
outlet_gate_v3,5,49,1714,214.96732788798448,249.1019836639442,-0.13703084685993394,212.2,213.3,233.8,416.4
outlet_gate_v3,3,49,1661,221.723419626731,252.29831426851482,-0.12118548921117134,217.6,218.9,277.6,480.4
outlet_gate_v3,4,49,1736,216.5940092165883,245.28058755760557,-0.11695413251682651,213.0,214.2,246.4,464.9
outlet_gate_v3,53,49,215,209.72465116279088,246.44790697674392,-0.14901021584824592,206.8,214.5,221.8,393.7
outlet_gate_v3,5,48,898,237.5926503340757,266.18775055679214,-0.10742455339474977,231.2,231.8,278.4,440.2
outlet_gate_v3,4,48,917,237.9206106870229,261.4225736095965,-0.08990028136464978,232.0,232.7,280.8,381.3
outlet_gate_v3,3,48,894,243.34205816554834,269.12136465324335,-0.09579063528052134,236.6,237.4,308.0,442.2
outlet_gate_v3,0,50,1366,217.58462664714443,241.66544655929806,-0.09964527513139887,217.0,217.7,222.8,378.5
outlet_gate_v3,2,50,1402,222.43566333808752,237.9446504992863,-0.06517896968331005,222.0,222.7,227.2,363.1
outlet_gate_v3,53,48,107,241.42056074766361,279.429906542056,-0.13602461620789952,232.4,233.0,298.4,362.3
outlet_gate_v3,1,50,1365,217.96600732600496,243.42285714285728,-0.10457871588415579,217.4,218.1,223.4,387.2
