window_name,policy,scope_total,planned_count,node_window_conflicts,edge_capacity_primary,fail_if_nonzero
g4d_first1024_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4d_first144_no_fault,model_plus_pibt_lite,144,144,0,False,True
g4d_first256_no_fault,model_plus_pibt_lite,256,256,0,False,True
g4d_first512_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4d_offset2048_1024_high_density,model_plus_pibt_lite,977,977,0,False,True
g4d_offset512_512_high_density,model_plus_pibt_lite,512,512,0,False,True
g4d_offset64_repair512,model_plus_pibt_lite,512,512,0,False,True
g4d_offset64_static512,model_plus_pibt_lite,512,512,0,False,True
g4i_1024_offset0_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_1024_offset1024_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_1024_offset2048_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_1024_offset3072_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_1024_offset4096_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_1024_offset8192_no_fault,model_plus_pibt_lite,1024,1024,0,False,True
g4i_12000_offset0_no_fault_smoke,model_plus_pibt_lite,12000,12000,0,False,True
g4i_2048_offset0_no_fault,model_plus_pibt_lite,2048,2048,0,False,True
g4i_2048_offset2048_no_fault,model_plus_pibt_lite,2048,2048,0,False,True
g4i_2048_offset4096_no_fault,model_plus_pibt_lite,2048,2048,0,False,True
g4i_4096_offset0_no_fault,model_plus_pibt_lite,4096,4096,0,False,True
g4i_4096_offset4096_no_fault,model_plus_pibt_lite,4096,4096,0,False,True
g4i_512_offset0_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset1024_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset1536_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset2048_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset3072_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset4096_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset512_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_512_offset8192_no_fault,model_plus_pibt_lite,512,512,0,False,True
g4i_8192_offset0_no_fault,model_plus_pibt_lite,8192,8192,0,False,True
