scenario,context,replay_variant,variant_mode,diagnostic_ablation,teacher_source,decision_ordinal,task_decision_ordinal,task_index,segment_id,task_id,source_line,current,goal,ready_time,candidate_next_nodes,safe_next_nodes,legacy_route_suffix,legacy_next,route_intent_label,label_taxonomy,executable_label,label_kind,label_next,hold_until_time,hold_duration,earliest_safe_time,earliest_release_time,earliest_hold_duration,earliest_safe_status,queue_rank,queue_length,wait_blocker_task_ids,occupying_task_ids,occupancy_start,occupancy_end,can_current_node_hold,block_reason,block_reason_detail,label_source,post_label_safe,teacher_finish_time,branch_or_linear,fault_state,repair_state,merge_state,buffer_state,executed_kind,executed_next,edge_start,edge_end,node_start,node_end,terminal_reason,reroute_attempted,sipp_repair_attempted,g4a_primary_eligible
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,174,8,20,20:storage_in,20,22,27,47,10729.37885,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,17,17,10728.2,10739,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,10745.178849999998,branch,none,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,212,3,27,27:storage_in,27,29,18,47,11276.91203,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,25,25,11275,11283.4,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11316.112029999998,linear,none,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,215,3,26,26:storage_in,26,28,18,47,11278.616360000002,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,LEGACY_NEXT_GLOBALLY_UNSAFE,LEGACY_NEXT_GLOBALLY_UNSAFE,hold,22,11279.616360000002,1.0,,,,current_node_hold_conflict,2,2,25,25,11275,11283.4,False,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,11317.81636,linear,none,none,none,none,hold,18,,,11278.616360000002,11279.616360000002,,False,False,False
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,217,4,26,26:storage_in,26,28,18,47,11279.616360000002,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,25,25,11275,11283.4,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11318.81636,linear,none,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,219,3,30,30:storage_in,30,32,18,47,11281.06746,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,25,25,11275,11283.4,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11320.26746,linear,none,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_first32,no_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,238,6,25,25:storage_in,25,27,27,47,11302.445409999998,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,24,24,11292.4,11303.2,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11318.245409999998,branch,none,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,48,6,3,35:storage_in,35,37,27,47,11315.93412,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,33,33,11311,11321.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11331.73412,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,52,11,0,32:storage_in,32,34,27,47,11317.573150000004,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,LEGACY_NEXT_GLOBALLY_UNSAFE,LEGACY_NEXT_GLOBALLY_UNSAFE,hold,28,11318.573150000004,1.0,,,,current_node_hold_conflict,2,2,33,33,11311,11321.8,False,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,11333.373150000003,branch,16->17,none,none,none,hold,27,,,11317.573150000004,11318.573150000004,,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,54,12,0,32:storage_in,32,34,27,47,11318.573150000004,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,33,33,11311,11321.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11334.373150000003,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,56,6,2,34:storage_in,34,36,27,47,11320.03961,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,33,33,11311,11321.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11335.839609999999,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,62,6,5,37:storage_in,37,39,27,47,11326.33412,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,40,40,11321.8,11332.6,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11342.134119999999,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,120,6,12,44:storage_in,44,46,27,47,11905.348899999999,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,43,43,11901,11911.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11921.148899999998,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset32_static16,static_fault,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,123,6,14,46:storage_in,46,48,27,47,11906.9489,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,43,43,11901,11911.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,11922.748899999999,branch,16->17,none,none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,21,3,4,68:storage_in,68,70,18,47,12486.50318,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,64,64,12484.4,12492.8,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,12525.703179999999,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,41,3,9,73:storage_in,73,75,18,47,12494.37299,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,66,66,12492.8,12501.2,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,12533.572989999999,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,84,9,2,66:storage_in,66,68,27,47,12518.23977,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,64,64,12516.3,12527.1,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,12534.03977,branch,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,154,5,18,82:storage_in,82,84,18,47,13066.259440000002,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,81,81,13064.9,13073.3,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,13105.45944,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,157,3,20,84:storage_in,84,86,18,47,13067.859440000002,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,81,81,13064.9,13073.3,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,13107.05944,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,175,4,23,87:storage_in,87,89,18,47,13074.978690000002,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,86,86,13073.3,13081.7,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,13114.17869,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,206,3,30,94:storage_in,94,96,18,47,13083.84086,22,,18 22 24 27 28 47,22,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,22,,0.0,,,,current_node_hold_conflict,2,2,89,89,13081.7,13090.1,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,13123.04086,linear,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,224,8,17,81:storage_in,81,83,27,47,13092.28215,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,LEGACY_NEXT_GLOBALLY_UNSAFE,LEGACY_NEXT_GLOBALLY_UNSAFE,hold,28,13093.28215,1.0,,,,current_node_hold_conflict,2,2,80,80,13090.7,13101.5,False,edge_capacity,edge_capacity,shield_hold_after_blocked_legacy_next,True,13108.082149999998,branch,none,"28->47@[0.000,12000.000)",none,none,hold,27,,,13092.28215,13093.28215,,False,False,False
legacy_offset64_repair32,repair_window,capacity_wait_budget_5s,wait_budget,False,python_faithful_legacy_astar_edge_capacity_scheduler_g3f,226,9,17,81:storage_in,81,83,27,47,13093.28215,28 45,,27 28 47,28,ROUTE_INTENT_LEGACY,ABSTAIN_NO_TEACHER,ABSTAIN_NO_TEACHER,no_teacher,28,,0.0,,,,current_node_hold_conflict,2,2,80,80,13090.7,13101.5,False,edge_capacity,edge_capacity,abstain_no_safe_hold,False,13109.082149999998,branch,none,"28->47@[0.000,12000.000)",none,none,unplanned,,,,,,edge_capacity,False,False,False
