scenario,task_stream_generation_level,topology_changed,source_manifest,task_id,segment_id,start,failed_reason,steps,path,node_window_conflicts,runtime_full_cie_astar_calls
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,0,0:storage_in:g4irsf2_c0,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,28506,28506:storage_in:g4irsf2_c1,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,57012,57012:storage_in:g4irsf2_c2,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,85518,85518:storage_in:g4irsf2_c3,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,114024,114024:storage_in:g4irsf2_c4,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,142530,142530:storage_in:g4irsf2_c5,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,171036,171036:storage_in:g4irsf2_c6,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,199542,199542:storage_in:g4irsf2_c7,3,all_candidates_faulted,3,"[3, 16, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,1,1:storage_in:g4irsf2_c0,4,all_candidates_faulted,2,"[4, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,28507,28507:storage_in:g4irsf2_c1,4,all_candidates_faulted,2,"[4, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,57013,57013:storage_in:g4irsf2_c2,4,all_candidates_faulted,2,"[4, 17, 18]",0,0
static_fault_18_22,distribution_preserving_resample,False,artifacts/tasks/g4irsf2_high_flow_manifest.json,85519,85519:storage_in:g4irsf2_c3,4,all_candidates_faulted,2,"[4, 17, 18]",0,0
