oracle_policy,scenario_context,failure_motif,unrecoverable_reason,failed_rows
oracle1_teacher_next,merge_group,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,7
oracle2_sipp_rank,merge_group,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,7
oracle2_sipp_rank,repair_window,hold_when_sipp_moves,no_safe_action_or_mask_timing,7
oracle3_lookahead_k2,merge_group,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,7
oracle3_lookahead_k3,merge_group,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,7
oracle3_lookahead_k5,merge_group,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,7
oracle1_teacher_next,repair_window,hold_when_sipp_moves,no_safe_action_or_mask_timing,6
oracle3_lookahead_k2,repair_window,hold_when_sipp_moves,no_safe_action_or_mask_timing,6
oracle3_lookahead_k3,repair_window,hold_when_sipp_moves,no_safe_action_or_mask_timing,6
oracle3_lookahead_k5,repair_window,hold_when_sipp_moves,no_safe_action_or_mask_timing,6
oracle1_teacher_next,merge_group,hold_when_sipp_moves,no_safe_action_or_mask_timing,5
oracle2_sipp_rank,merge_group,hold_when_sipp_moves,no_safe_action_or_mask_timing,5
oracle3_lookahead_k2,merge_group,hold_when_sipp_moves,no_safe_action_or_mask_timing,5
oracle3_lookahead_k3,merge_group,hold_when_sipp_moves,no_safe_action_or_mask_timing,5
oracle3_lookahead_k5,merge_group,hold_when_sipp_moves,no_safe_action_or_mask_timing,5
oracle1_teacher_next,repair_window,repair_window_branch_gap,no_safe_action_or_mask_timing,4
oracle2_sipp_rank,repair_window,repair_window_branch_gap,no_safe_action_or_mask_timing,4
oracle3_lookahead_k2,repair_window,repair_window_branch_gap,no_safe_action_or_mask_timing,4
oracle3_lookahead_k3,repair_window,repair_window_branch_gap,no_safe_action_or_mask_timing,4
oracle3_lookahead_k5,repair_window,repair_window_branch_gap,no_safe_action_or_mask_timing,4
oracle1_teacher_next,no_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle1_teacher_next,no_fault,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,3
oracle1_teacher_next,repair_window,no_safe_action_at_divergence,no_safe_action_or_mask_timing,3
oracle1_teacher_next,static_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle2_sipp_rank,no_fault,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,3
oracle2_sipp_rank,repair_window,no_safe_action_at_divergence,no_safe_action_or_mask_timing,3
oracle2_sipp_rank,static_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle3_lookahead_k2,no_fault,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,3
oracle3_lookahead_k2,repair_window,no_safe_action_at_divergence,no_safe_action_or_mask_timing,3
oracle3_lookahead_k2,static_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle3_lookahead_k3,no_fault,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,3
oracle3_lookahead_k3,repair_window,no_safe_action_at_divergence,no_safe_action_or_mask_timing,3
oracle3_lookahead_k3,static_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle3_lookahead_k5,no_fault,wrong_branch_vs_sipp,no_safe_action_or_mask_timing,3
oracle3_lookahead_k5,repair_window,no_safe_action_at_divergence,no_safe_action_or_mask_timing,3
oracle3_lookahead_k5,static_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,3
oracle1_teacher_next,merge_group,no_safe_action_at_divergence,no_safe_action_or_mask_timing,2
oracle2_sipp_rank,merge_group,no_safe_action_at_divergence,no_safe_action_or_mask_timing,2
oracle2_sipp_rank,no_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,2
oracle3_lookahead_k2,merge_group,no_safe_action_at_divergence,no_safe_action_or_mask_timing,2
oracle3_lookahead_k2,no_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,2
oracle3_lookahead_k3,merge_group,no_safe_action_at_divergence,no_safe_action_or_mask_timing,2
oracle3_lookahead_k3,no_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,2
oracle3_lookahead_k5,merge_group,no_safe_action_at_divergence,no_safe_action_or_mask_timing,2
oracle3_lookahead_k5,no_fault,hold_when_sipp_moves,no_safe_action_or_mask_timing,2
oracle1_teacher_next,no_fault,no_safe_action_at_divergence,no_safe_action_or_mask_timing,1
oracle2_sipp_rank,merge_group,hold_when_sipp_moves,event_horizon_max_decisions,1
oracle2_sipp_rank,no_fault,no_safe_action_at_divergence,no_safe_action_or_mask_timing,1
oracle3_lookahead_k2,no_fault,no_safe_action_at_divergence,no_safe_action_or_mask_timing,1
oracle3_lookahead_k3,no_fault,no_safe_action_at_divergence,no_safe_action_or_mask_timing,1
oracle3_lookahead_k5,no_fault,no_safe_action_at_divergence,no_safe_action_or_mask_timing,1
