window_id,interface_decisions,fallback_calls,fallback_rate_by_interface,would_model_have_been_wrong,unique_fallback_tasks,top_nodes
g4d_first1024_no_fault,8864,1432,0.16155235,374,1024,"{""6"": 111, ""9"": 109, ""11"": 261, ""16"": 161, ""19"": 159, ""20"": 215, ""22"": 356, ""31"": 18}"
g4d_first144_no_fault,1209,199,0.16459884,50,144,"{""6"": 18, ""9"": 16, ""11"": 38, ""16"": 28, ""19"": 25, ""20"": 12, ""22"": 62}"
g4d_first256_no_fault,2149,353,0.16426245,80,256,"{""6"": 31, ""9"": 29, ""11"": 65, ""16"": 44, ""19"": 42, ""20"": 38, ""22"": 104}"
g4d_first512_no_fault,4235,678,0.16009445,149,512,"{""6"": 52, ""9"": 50, ""11"": 117, ""16"": 77, ""19"": 75, ""20"": 130, ""22"": 177}"
g4d_offset2048_1024_high_density,9713,2077,0.21383713,601,977,"{""11"": 298, ""16"": 124, ""19"": 124, ""20"": 154, ""22"": 268, ""31"": 218, ""33"": 123, ""36"": 122}"
g4d_offset512_512_high_density,4620,755,0.16341991,225,512,"{""6"": 59, ""9"": 59, ""11"": 145, ""16"": 84, ""19"": 84, ""20"": 85, ""22"": 179, ""31"": 18}"
g4d_offset64_repair512,4296,675,0.15712291,165,512,"{""6"": 51, ""9"": 51, ""11"": 122, ""16"": 76, ""19"": 74, ""20"": 132, ""22"": 169}"
g4d_offset64_static512,4227,617,0.14596641,127,512,"{""6"": 51, ""9"": 51, ""11"": 119, ""16"": 76, ""19"": 74, ""20"": 132, ""22"": 114}"
