baseline,max_tasks,elapsed_seconds,planned_count,unplanned_count,mean_travel_time,p95_travel_time,p99_travel_time,late_count,max_lateness,makespan,reservation_conflicts,edge_reservation_conflicts,post_shield_conflicts
reference_astar,128,0.041494,113,15,51.529204,76.800000,79.400000,0,0.000000,13739.282910,0,0,0
queue_aware_shortest_path,128,0.174542,128,0,84.657354,150.413295,171.164668,0,0.000000,13761.121150,0,0,0
rolling_horizon_sipp,128,0.178441,128,0,87.705494,161.469291,191.216629,0,0.000000,13770.949590,0,0,0
