node,node_type,declared_role,service_time,x,y,in_degree,out_degree,incoming_nodes,outgoing_nodes,topological_merge,topological_split,declared_merge_matches_topology,declared_split_matches_topology,scc_id,scc_size,weak_component_id,weak_component_size,weak_projection_articulation,incident_weak_projection_bridge_count,is_source,is_goal
0,1,source,0.0,30,0,0,1,,6,False,False,True,True,SCC000,1,WCC000,54,False,1,True,False
1,1,source,0.0,37,0,0,1,,7,False,False,True,True,SCC001,1,WCC000,54,False,1,True,False
2,1,source,0.0,44,0,0,1,,9,False,False,True,True,SCC002,1,WCC000,54,False,1,True,False
3,1,source,0.0,55,0,0,1,,16,False,False,True,True,SCC003,1,WCC000,54,False,1,True,False
4,1,source,0.0,62,0,0,1,,17,False,False,True,True,SCC004,1,WCC000,54,False,1,True,False
5,1,source,0.0,69,0,0,1,,19,False,False,True,True,SCC005,1,WCC000,54,False,1,True,False
6,4,declared_split,1.0,30,12,1,2,0,8;12,False,True,True,True,SCC006,1,WCC000,54,True,1,False,False
7,5,declared_merge,1.0,37,8,2,1,1;9,8,True,False,True,True,SCC007,1,WCC000,54,True,1,False,False
8,5,declared_merge,1.0,37,12,2,1,6;7,11,True,False,True,True,SCC008,1,WCC000,54,False,0,False,False
9,4,declared_split,1.0,44,8,1,2,2,7;10,False,True,True,True,SCC009,1,WCC000,54,True,1,False,False
10,5,declared_merge,1.0,44,16,2,1,9;20,15,True,False,True,True,SCC010,1,WCC000,54,False,0,False,False
11,4,declared_split,1.0,37,20,1,2,8,13;14,False,True,True,True,SCC011,1,WCC000,54,False,0,False,False
12,5,declared_merge,1.0,30,36,2,1,6;34,13,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
13,5,declared_merge,1.0,37,36,2,1,11;12,23,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
14,5,declared_merge,1.0,35,40,2,1,11;15,46,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
15,5,declared_merge,1.0,42,40,2,1,10;43,14,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
16,4,declared_split,1.0,55,5,1,2,3,17;21,False,True,True,True,SCC013,1,WCC000,54,True,1,False,False
17,5,declared_merge,1.0,62,5,2,1,4;16,18,True,False,True,True,SCC014,1,WCC000,54,True,1,False,False
18,5,declared_merge,1.0,62,9,2,1,17;19,22,True,False,True,True,SCC015,1,WCC000,54,False,0,False,False
19,4,declared_split,1.0,69,9,1,2,5,18;25,False,True,True,True,SCC016,1,WCC000,54,True,1,False,False
20,4,declared_split,1.0,50,16,1,2,53,10;21,False,True,True,True,SCC017,1,WCC000,54,True,1,False,False
21,5,declared_merge,1.0,55,16,2,1,16;20,23,True,False,True,True,SCC018,1,WCC000,54,False,0,False,False
22,4,declared_split,1.0,62,16,1,2,18,24;26,False,True,True,True,SCC019,1,WCC000,54,False,0,False,False
23,5,declared_merge,1.0,55,36,2,1,13;21,24,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
24,5,declared_merge,1.0,62,36,2,1,22;23,27,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
25,5,declared_merge,1.0,69,40,2,1,19;42,26,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
26,5,declared_merge,1.0,61,40,2,1,22;25,43,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
27,4,declared_split,1.0,84,36,1,2,24,28;45,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
28,4,declared_split,1.0,84,48,1,2,27,29;47,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
29,5,declared_merge,1.0,80,48,2,1,28;52,30,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
30,5,declared_merge,1.0,75,48,2,1,29;42,31,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
31,4,declared_split,1.0,57,48,1,2,30,32;43,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
32,4,declared_split,1.0,53,48,1,2,31,33;37,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
33,4,declared_split,1.0,17,48,1,2,32,34;44,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
34,4,declared_split,1.0,17,36,1,2,33,12;35,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
35,5,declared_merge,1.0,32,29,2,1,34;46,51,True,False,True,True,SCC020,1,WCC000,54,True,1,False,False
36,4,declared_split,1.0,21,45,1,2,46,38;44,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
37,5,declared_merge,1.0,48,54,2,1,32;38,49,True,False,True,True,SCC021,1,WCC000,54,True,1,False,False
38,4,declared_split,1.0,53,52,1,2,36,37;39,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
39,4,declared_split,1.0,70,52,1,2,38,40;47,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
40,5,declared_merge,1.0,79,52,2,1,39;52,41,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
41,4,declared_split,1.0,82,52,1,2,40,42;45,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
42,4,declared_split,1.0,82,40,1,2,41,25;30,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
43,5,declared_merge,1.0,57,40,2,1,26;31,15,True,False,True,True,SCC012,24,WCC000,54,False,0,False,False
44,5,declared_merge,1.0,6,45,2,1,33;36,50,True,False,True,True,SCC022,1,WCC000,54,True,1,False,False
45,5,declared_merge,1.0,95,45,2,1,27;41,48,True,False,True,True,SCC023,1,WCC000,54,True,1,False,False
46,4,declared_split,1.0,32,40,1,2,14,35;36,False,True,True,True,SCC012,24,WCC000,54,False,0,False,False
47,2,goal,0.0,70,64,2,0,28;39,,True,False,True,True,SCC024,1,WCC000,54,False,0,False,True
48,2,goal,0.0,104,45,1,0,45,,False,False,True,True,SCC025,1,WCC000,54,False,1,False,True
49,2,goal,0.0,48,64,1,0,37,,False,False,True,True,SCC026,1,WCC000,54,False,1,False,True
50,2,goal,0.0,0,45,1,0,44,,False,False,True,True,SCC027,1,WCC000,54,False,1,False,True
51,2,goal,0.0,48,0,1,0,35,,False,False,True,True,SCC028,1,WCC000,54,False,1,False,True
52,1,source,0.0,79,64,0,2,,29;40,False,True,True,True,SCC029,1,WCC000,54,False,0,True,False
53,1,source,0.0,50,0,0,1,,20,False,False,True,True,SCC030,1,WCC000,54,False,1,True,False
