case,max_tasks,interval_seconds,python_planned,cpp_planned,python_unplanned,cpp_unplanned,python_replans,cpp_replans,python_ticks,cpp_ticks,python_peak_active_bags,cpp_peak_active_bags,python_conflicts,cpp_conflicts,python_event_count,cpp_event_count,mean_travel_abs_diff,parity_pass,first_mismatch_status,first_mismatch_index,first_mismatch_field,python_value,cpp_value
line_two_active_bags,2,2.0,2,2,0,0,4,4,3,3,2,2,0,0,8,8,0.0,True,match,,none,,
single_edge_capacity,2,2.0,2,2,0,0,2,2,2,2,1,1,0,0,6,6,0.0,True,match,,none,,
branch_static_fault_alternative,1,2.0,1,1,0,0,2,2,2,2,1,1,0,0,4,4,0.0,True,match,,none,,
branch_repair_window_alternative,1,2.0,1,1,0,0,2,2,2,2,1,1,0,0,4,4,0.0,True,match,,none,,
branch_repaired_preferred_edge,1,2.0,1,1,0,0,2,2,2,2,1,1,0,0,4,4,0.0,True,match,,none,,
line_buffer_capacity,2,1.0,2,2,0,0,4,4,3,3,2,2,0,0,8,8,0.0,True,match,,none,,
synthetic_seed7_medium_repair_periodic,8,5.0,8,8,0,0,24,24,9,9,5,5,0,0,40,40,0.0,True,match,,none,,
synthetic_seed11_dense_multi_repair_periodic,8,5.0,8,8,0,0,30,30,9,9,8,8,0,0,46,46,0.0,True,match,,none,,
